date,open,high,low,close,volume
2015-01-02,53.568626,54.164707,53.211765,53.662746,885105
2015-01-05,53.682354,53.909805,53.152943,53.180393,957270
2015-01-06,53.231373,53.741177,52.458824,52.870586,1956870
2015-01-07,53.333332,54.447060,52.850979,54.333332,1178355
2015-01-08,54.611767,55.294117,54.611767,55.098038,1185495
2015-01-09,55.003922,55.450981,54.521568,55.376472,1619505
2015-01-12,55.384315,55.737255,54.799999,54.847057,648210
2015-01-13,55.403923,55.764706,54.294117,54.721569,912900
2015-01-14,54.109802,54.760784,53.988235,54.545097,707115
2015-01-15,54.603924,54.960785,53.984314,54.054901,607920
2015-01-16,54.003922,54.725491,53.850979,54.705883,814980
2015-01-20,54.894119,54.980392,53.858826,54.313725,954465
2015-01-21,54.203922,54.509804,53.952942,54.180393,845325
2015-01-22,54.172550,55.905884,53.901962,55.905884,1026885
2015-01-23,55.866669,56.427452,55.752941,56.207844,1104150
2015-01-26,55.976471,56.329411,55.270588,56.309803,1022805
2015-01-27,55.733334,56.145100,55.168629,55.976471,1242870
2015-01-28,56.078430,56.368626,55.000000,55.133331,1214055
2015-01-29,55.278431,55.278431,54.494118,54.905884,1566465
2015-01-30,54.694118,55.027451,54.043137,54.145100,1152855
2015-02-02,54.058823,54.470589,53.149021,54.411766,1361190
2015-02-03,54.423531,54.901962,53.796078,54.447060,1404285
2015-02-04,54.286274,55.219608,54.164707,54.780392,1039380
2015-02-05,54.921570,55.513725,54.509804,55.360783,555390
2015-02-06,55.564705,55.568626,54.560783,54.835293,789225
2015-02-09,54.654903,54.760784,54.180393,54.599998,1199265
2015-02-10,54.835293,55.486275,54.439217,55.380390,1439730
2015-02-11,55.380390,55.831371,53.725491,55.682354,1538415
2015-02-12,56.137257,56.168629,55.494118,55.866669,1271175
2015-02-13,55.882355,56.172550,55.694118,56.149021,710175
2015-02-17,56.011765,56.125488,55.658825,55.811764,859095
2015-02-18,55.647060,55.803921,55.447060,55.721569,943755
2015-02-19,55.611767,55.611767,55.101959,55.239216,928710
2015-02-20,55.384315,55.925491,55.007843,55.901962,1381590
2015-02-23,55.878429,56.172550,55.686275,56.078430,766275
2015-02-24,55.894119,56.074509,55.423531,55.447060,1116135
2015-02-25,55.447060,55.658825,55.223530,55.298038,675750
2015-02-26,55.309803,55.545097,54.905884,55.074509,672945
2015-02-27,55.160786,55.227451,54.764706,54.921570,1214055
2015-03-02,54.945099,55.686275,54.945099,55.639217,850425
2015-03-03,55.294117,55.466667,55.003922,55.203922,1047285
2015-03-04,54.823528,55.254902,54.709805,55.243137,956505
2015-03-05,55.286274,55.599998,54.964706,55.145100,708135
2015-03-06,55.058823,55.058823,53.894119,54.054901,1050090
2015-03-09,54.094116,54.568626,54.094116,54.498039,1025100
2015-03-10,53.952942,54.470589,53.737255,53.796078,1009800
2015-03-11,53.843136,54.027451,53.337254,53.650982,1445595
2015-03-12,53.694118,54.349018,53.654903,54.239216,791010
2015-03-13,53.784313,54.333332,53.160786,53.478432,1034790
2015-03-16,53.854900,55.270588,53.850979,54.580391,3484320
2015-03-17,54.325489,54.980392,54.015686,54.250980,39810090
2015-03-18,54.462746,54.886276,54.101959,54.576469,2666535
2015-03-19,54.552940,55.376472,54.376472,55.172550,1357875
2015-03-20,55.725491,56.113724,55.533333,56.082352,2647920
2015-03-23,55.952942,56.094116,55.733334,55.741177,1124805
2015-03-24,55.588234,55.799999,55.086273,55.164707,1580490
2015-03-25,55.309803,55.392159,54.290195,54.333332,1344360
2015-03-26,53.905884,54.239216,53.701962,53.815685,1169940
2015-03-27,53.717648,54.509804,53.603924,54.431374,1546830
2015-03-30,54.839214,55.333332,54.674511,55.231373,994500
2015-03-31,55.070587,55.486275,54.733334,54.752941,1224510
2015-04-01,54.827450,54.827450,53.807842,54.203922,1612110
2015-04-02,54.258823,54.992157,53.933334,54.639217,1158465
2015-04-06,54.270588,55.447060,53.941177,55.043137,1812540
2015-04-07,55.054901,55.658825,54.850979,54.854900,1138065
2015-04-08,54.878429,55.639217,54.650982,54.945099,1594005
2015-04-09,54.807842,55.623528,54.725491,55.607841,1302030
2015-04-10,55.686275,55.866669,55.423531,55.627453,1265820
2015-04-13,55.650982,56.137257,55.650982,55.741177,1600380
2015-04-14,55.596077,55.737255,54.780392,55.129414,1129905
2015-04-15,55.219608,55.325489,54.886276,54.917648,947325
2015-04-16,54.811764,55.043137,54.474510,55.003922,1026630
2015-04-17,54.588234,54.658825,53.854900,54.223530,1118175
2015-04-20,54.525490,54.960785,54.392159,54.772549,756075
2015-04-21,55.039215,55.149021,54.713726,54.890198,903210
2015-04-22,54.894119,55.403923,54.678432,55.337254,1009545
2015-04-23,55.364704,55.949020,55.168629,55.623528,762450
2015-04-24,55.650982,56.176472,55.082352,55.898041,1226550
2015-04-27,55.933334,56.011765,54.870586,54.898041,762960
2015-04-28,54.811764,55.011765,54.258823,54.917648,1233435
2015-04-29,54.541176,54.898041,54.184315,54.568626,1297440
2015-04-30,54.313725,54.517647,53.596077,53.764706,1368585
2015-05-01,53.799999,54.501961,53.690197,54.447060,1696770
2015-05-04,54.694118,55.960785,54.392159,55.709805,1956870
2015-05-05,55.576469,55.686275,54.231373,54.247059,1624860
2015-05-06,54.247059,54.352940,53.301960,53.501961,1442790
2015-05-07,53.482353,53.886276,53.384315,53.721569,1397655
2015-05-08,54.258823,54.654903,53.737255,54.223530,1235730
2015-05-11,54.117645,54.243137,53.764706,53.886276,1448910
2015-05-12,53.725491,54.074509,53.254902,53.894119,1134750
2015-05-13,54.054901,54.494118,53.764706,54.090195,977925
2015-05-14,54.517647,55.058823,54.027451,55.039215,988635
2015-05-15,55.360783,55.360783,54.698040,54.811764,1938765
2015-05-18,54.803921,55.392159,54.780392,55.313725,844305
2015-05-19,55.286274,55.654903,55.101959,55.478432,902445
