date,open,high,low,close,volume
2015-01-02,85.105951,85.113813,83.307072,84.586769,243863
2015-01-05,83.351766,84.578913,82.132486,82.266212,198959
2015-01-06,82.234742,82.966312,80.252420,80.716537,404954
2015-01-07,81.251428,81.990866,80.244537,80.732246,467612
2015-01-08,80.881728,83.147233,80.551343,83.005638,631224
2015-01-09,83.524827,84.342927,82.808987,83.918144,514811
2015-01-12,83.579894,84.232801,81.778500,83.328171,423961
2015-01-13,83.823752,84.789034,82.396015,83.225914,518157
2015-01-14,82.108877,82.667387,81.275047,82.093147,410325
2015-01-15,82.557290,83.190532,81.589733,81.691994,521580
2015-01-16,81.416630,82.651645,81.180637,82.336990,445735
2015-01-20,82.399935,83.044975,81.707699,82.580864,295081
2015-01-21,82.643783,84.248518,82.517925,84.138390,297707
2015-01-22,84.838496,85.601532,83.776541,85.601532,395298
2015-01-23,85.137422,85.436341,84.059731,84.154129,252097
2015-01-26,84.445182,85.161022,83.745078,84.704773,283582
2015-01-27,83.210177,84.154142,82.486475,83.973213,397599
2015-01-28,84.633970,84.633970,82.093145,82.242607,384690
2015-01-29,83.115777,85.452076,81.264823,85.349815,662506
2015-01-30,84.917164,85.310481,83.233767,83.414696,400453
2015-02-02,84.272105,85.798177,83.697866,85.593651,571346
2015-02-03,86.278041,87.465860,85.979122,87.363594,291595
2015-02-04,86.388174,87.371467,86.388174,86.954552,659492
2015-02-05,87.379298,88.630043,87.001711,87.347832,715578
2015-02-06,87.481606,88.417703,87.481606,88.252510,294154
2015-02-09,88.008650,89.212206,87.906390,88.315437,220264
2015-02-10,89.117781,89.676290,88.425545,89.566162,190471
2015-02-11,89.306576,89.776983,88.291818,89.503235,237676
2015-02-12,89.762838,90.691067,89.432453,90.352814,181833
2015-02-13,90.250527,90.856233,89.872940,90.785439,171024
2015-02-17,90.659574,90.864101,89.629086,89.967339,230544
2015-02-18,89.282983,90.651725,89.235787,89.652702,278991
2015-02-19,89.204318,90.431465,88.968325,89.636963,210046
2015-02-20,89.298725,91.509171,89.007674,91.343979,313763
