date,open,high,low,close,volume
2015-01-02,31.281520,31.368638,30.694918,30.921429,2774429
2015-01-05,30.636828,30.793641,30.294160,30.433550,4297286
2015-01-06,30.619384,30.892357,29.951475,30.021170,4078483
2015-01-07,30.114111,30.148958,29.823715,29.968912,3931488
2015-01-08,30.392897,30.996922,30.352242,30.996922,2965882
2015-01-09,31.118876,31.130492,30.671667,30.816864,1615891
2015-01-12,30.828480,31.031758,30.456773,30.903984,2917517
2015-01-13,31.130503,31.357013,30.700715,30.956264,4211011
2015-01-14,30.538080,31.101449,30.491616,31.020138,3014669
2015-01-15,31.142121,31.246664,30.845915,30.996922,3955248
2015-01-16,31.101456,31.432507,30.927218,31.409275,2943917
2015-01-20,31.629970,31.769358,31.159527,31.496387,3023539
2015-01-21,31.380236,31.839063,31.211807,31.705481,2421408
2015-01-22,31.914562,32.077185,31.711285,32.048145,2875805
2015-01-23,31.914574,31.990078,31.374437,31.403477,1939661
2015-01-26,31.798409,31.885527,31.403469,31.711288,3468010
2015-01-27,31.113069,31.525431,30.700704,31.235033,3380256
2015-01-28,31.937788,32.228184,30.840091,30.874937,4632778
2015-01-29,30.845907,31.130496,30.468391,31.078224,4334352
2015-01-30,30.683283,31.002718,30.509045,30.584549,3266630
2015-02-02,30.758788,30.886562,30.329002,30.648438,3985555
2015-02-03,30.480014,31.281507,30.480014,31.206005,2529859
2015-02-04,31.206007,31.786799,31.136310,31.571905,3108653
2015-02-05,31.757758,31.995882,31.508016,31.926188,2353085
2015-02-06,31.850679,32.001685,31.548669,31.641594,2260051
2015-02-09,31.571892,31.740323,31.327958,31.484774,1940189
2015-02-10,31.560282,32.292082,31.478973,32.263042,3138643
2015-02-11,32.380047,32.608200,32.233794,32.473648,2369558
2015-02-12,32.760300,33.637809,32.760300,33.456455,3928426
2015-02-13,33.357006,33.655360,33.304355,33.526657,2237875
2015-02-17,33.357000,33.614403,33.210750,33.333599,2535878
2015-02-18,32.836354,33.503261,32.701802,33.497410,2638099
2015-02-19,33.111302,33.415505,32.982602,33.251705,1975670
2015-02-20,33.140562,33.690468,32.848060,33.690468,3639293
2015-02-23,33.345304,33.871809,33.000151,33.585155,5645165
2015-02-24,33.257550,33.479851,32.959196,33.204899,2694384
2015-02-25,33.070356,33.280957,33.006004,33.234158,2193206
2015-02-26,33.321901,33.725554,33.181498,33.204899,3162509
2015-02-27,33.310210,33.333609,32.988456,33.000156,2373254
2015-03-02,33.000147,33.351149,32.947496,33.333599,1837651
2015-03-03,33.210765,33.240013,32.959211,33.128864,2253504
2015-03-04,33.017690,33.058641,32.625736,32.900688,2360477
2015-03-05,33.000149,33.041099,32.327392,32.508743,2204717
2015-03-06,32.216243,32.432696,31.894491,32.286446,4825286
2015-03-09,32.473645,32.631598,32.198693,32.204544,2509901
2015-03-10,31.847683,32.069987,31.736533,31.759933,2859226
2015-03-11,31.795045,32.052448,31.572743,31.613691,2980982
2015-03-12,31.795034,32.128487,31.555181,32.093388,3018787
2015-03-13,32.040738,32.140191,31.736535,31.993938,3126394
2015-03-16,32.087540,32.268892,32.040739,32.075840,2038291
2015-03-17,31.906191,32.204544,31.701439,32.017342,2502614
2015-03-18,31.929600,32.397607,31.484996,32.251354,3099782
2015-03-19,32.192844,32.227945,31.713141,31.736540,2051702
2015-03-20,31.894498,32.450252,31.783347,32.374203,4436784
2015-03-23,32.280590,32.397592,31.923736,31.976387,2266598
2015-03-24,31.882786,32.058288,31.736534,31.941286,1769750
2015-03-25,31.917880,31.929578,31.508376,31.531776,2693117
2015-03-26,31.461577,31.771631,31.403077,31.713131,2188666
2015-03-27,31.689741,31.947144,31.642941,31.835993,2506944
2015-03-30,31.958847,32.403451,31.900347,32.298149,1823818
2015-03-31,32.239639,32.789544,32.186988,32.461941,3168528
2015-04-01,32.292297,32.321547,31.777493,32.116795,2530915
2015-04-02,32.093400,32.227949,31.859397,31.982246,1542182
2015-04-06,31.754091,31.894492,31.707292,31.771641,2125306
2015-04-07,31.765785,31.999784,31.566882,31.572733,1818643
2015-04-08,31.561027,31.947131,31.479126,31.876930,2196269
2015-04-09,31.882779,32.075831,31.806727,31.876930,2155930
2015-04-10,32.029041,33.046948,31.982239,32.924099,5225299
2015-04-13,32.935794,33.041094,32.444389,32.537991,4775760
2015-04-14,32.514605,32.701805,32.134350,32.175301,2893546
2015-04-15,32.175292,32.327393,31.964691,32.017342,2861232
2015-04-16,32.011499,32.268900,31.900348,31.982246,3335904
2015-04-17,31.830137,31.935439,31.444033,31.619535,3847642
2015-04-20,31.876936,32.222089,31.765785,31.970537,2772950
2015-04-21,31.713143,31.859396,30.613333,30.724483,6475709
2015-04-22,30.747879,31.110582,30.683528,31.028681,3987139
2015-04-23,30.970177,31.104728,30.782974,30.935078,2278742
2015-04-24,30.952631,31.420633,30.747878,31.397234,2638099
2015-04-27,31.391391,31.426490,31.133988,31.192488,2171242
2015-04-28,31.204187,31.344588,30.841482,31.274387,3170006
2015-04-29,31.186633,31.590286,30.946779,31.046232,2431546
2015-04-30,31.034526,31.666335,31.005279,31.426481,3062717
2015-05-01,31.555191,31.824294,31.520092,31.607841,2334922
2015-05-04,31.479137,31.619538,31.367986,31.438187,2311478
2015-05-05,31.379679,31.438179,29.694865,29.806013,11120842
2015-05-06,29.887927,30.396880,29.718274,30.309130,7185763
2015-05-07,30.361773,30.484624,30.186271,30.420273,6498730
2015-05-08,30.876585,31.116436,30.619184,30.706934,3418272
2015-05-11,30.677683,30.993587,30.630882,30.923384,3092179
2015-05-12,30.823935,30.823935,30.484633,30.490482,2010413
2015-05-13,30.584077,30.882428,30.519726,30.747879,2411482
2015-05-14,31.040383,31.514239,30.999433,31.367987,4585786
2015-05-15,31.350437,31.449890,30.771282,31.163237,3266842
2015-05-18,31.022834,31.414786,30.864881,31.367987,1936810
2015-05-19,31.315336,31.590288,31.262685,31.367987,2789952
2015-05-20,31.332884,31.350433,31.028681,31.145683,2163638
2015-05-21,31.116210,31.351984,30.951171,31.298937,2347277
2015-05-22,31.298937,31.363775,31.210520,31.298937,2022768
