date,open,high,low,close,volume
2015-01-02,73.106770,73.337241,72.123403,72.738007,1378400
2015-01-05,72.376947,72.376947,70.817398,70.940315,1827500
2015-01-06,71.201507,71.309062,69.472942,69.964622,2681700
2015-01-07,70.556135,71.024768,70.202740,70.725151,1696500
2015-01-08,71.401256,72.461441,71.370525,72.430710,1717400
2015-01-09,72.599720,72.768736,71.501121,71.885246,1416600
2015-01-12,72.031227,72.184874,71.324431,71.554909,1354000
2015-01-13,72.100341,72.615067,70.901871,71.470375,2117000
2015-01-14,70.433242,71.470379,70.379464,71.324409,1891100
2015-01-15,71.355181,71.831499,70.640707,70.809723,1732600
2015-01-16,70.740530,71.670113,70.264212,71.670113,2161400
2015-01-20,72.031231,72.092687,70.971041,71.762344,2009200
2015-01-21,71.516470,72.215581,71.416599,72.008156,1770000
2015-01-22,72.545958,72.937768,71.869899,72.676559,2242800
2015-01-23,72.699615,72.784123,71.869908,71.877586,1792900
2015-01-26,71.869870,72.200219,71.362822,72.008156,2216700
2015-01-27,71.731580,72.338499,70.771267,71.800720,2702000
2015-01-28,72.100341,72.123388,70.725172,70.771271,2972000
2015-01-29,70.778938,72.261662,70.433227,72.023506,3202700
2015-01-30,71.431954,72.323122,71.339762,71.516457,3866600
2015-02-02,71.877552,72.976151,71.309048,72.914696,1750700
2015-02-03,72.983826,73.898046,72.860903,73.652206,2222400
2015-02-04,73.752080,74.213029,73.475509,73.636841,2111200
2015-02-05,73.752121,74.720120,73.675298,74.574150,1671400
2015-02-06,74.504991,75.165681,74.405114,74.589493,1810700
2015-02-09,74.266796,74.689336,74.074733,74.382034,1050100
2015-02-10,74.681679,74.712409,74.059397,74.558762,1078300
2015-02-11,74.520339,74.597162,73.967197,74.305229,826300
2015-02-12,74.589518,75.142660,74.443555,75.119614,1513700
2015-02-13,75.134932,75.818675,75.134932,75.488327,1280200
2015-02-17,75.181023,75.703434,75.142608,75.434547,1232100
2015-02-18,75.065784,75.826351,75.065784,75.626610,1202700
2015-02-19,75.265548,75.903197,75.265548,75.618942,1316800
2015-02-20,75.480659,76.679129,75.127264,76.433289,2221200
2015-02-23,76.248909,76.410241,75.964654,76.248909,1376600
2015-02-24,76.026127,76.732917,76.010765,76.425621,1806000
2015-02-25,76.264285,76.771333,76.264285,76.640732,1516500
2015-02-26,76.725215,76.786671,76.210482,76.294991,1775500
2015-02-27,76.302682,76.410237,75.926241,75.949287,1709800
2015-03-02,75.980026,76.748277,75.841740,76.487068,1797700
2015-03-03,76.210492,76.663764,76.141353,76.571571,1913000
2015-03-04,76.271950,76.271950,75.419191,75.442238,2038100
2015-03-05,75.396159,76.248918,75.357744,76.149048,1705900
2015-03-06,75.419202,75.795649,74.981299,75.111900,2361400
2015-03-09,75.073483,76.095258,75.050436,75.818687,1549700
2015-03-10,75.096533,75.181041,74.312920,74.312920,1868600
2015-03-11,74.389736,74.504975,73.867325,73.898056,1884000
2015-03-12,74.151576,75.480653,74.044022,75.350052,1420200
2015-03-13,75.227146,75.334701,74.328293,75.027405,1784100
2015-03-16,75.319312,76.172071,75.134934,76.118294,1378000
2015-03-17,75.780252,76.056823,75.565143,75.872444,1450100
2015-03-18,75.565169,76.932655,74.781550,76.679131,2568000
2015-03-19,76.333411,76.579251,75.880140,76.341095,1666600
2015-03-20,76.586960,76.625369,75.580547,75.695786,5200100
2015-03-23,75.826359,76.003059,75.204077,75.211761,1815600
2015-03-24,75.027368,75.419171,74.919807,74.988953,1628800
2015-03-25,75.127267,75.257869,74.128539,74.136223,1761900
2015-03-26,73.813576,74.466588,73.583098,74.159286,1684800
2015-03-27,74.502867,74.888933,74.163134,74.695900,1860800
2015-03-30,75.051052,75.838629,75.012449,75.583824,1973600
2015-03-31,75.159177,75.344492,74.757672,75.004753,1741500
2015-04-01,74.896672,75.012493,74.201753,74.526047,1479700
2015-04-02,74.363886,75.128300,74.325283,74.595528,1074600
2015-04-06,74.232614,75.861809,74.124516,75.483467,1095300
2015-04-07,75.545265,76.255629,75.329069,75.622482,1592700
2015-04-08,75.491202,75.854104,74.757680,75.097420,1405900
2015-04-09,74.950707,75.468033,74.719066,75.112854,954600
2015-04-10,75.236387,75.568403,74.966136,75.313599,1386600
2015-04-13,75.027906,75.807759,74.888922,75.699661,1551000
2015-04-14,75.537526,76.873309,75.344493,76.819260,2239800
2015-04-15,77.135842,77.151282,76.402315,76.471809,2330500
2015-04-16,76.124355,76.309671,75.684241,75.854111,1431900
2015-04-17,75.228661,75.267270,73.676677,74.024139,2628400
2015-04-20,74.356165,75.120573,74.348442,74.912094,1493800
2015-04-21,74.093615,74.448794,72.665175,72.904533,3956700
2015-04-22,72.904537,73.105293,72.209619,72.919983,2578000
2015-04-23,72.765569,73.421879,72.402667,73.128471,2653600
2015-04-24,73.128476,73.205688,72.742410,73.066704,1925500
2015-04-27,73.174804,73.560869,72.989494,73.321510,2404400
2015-04-28,73.058963,73.560843,72.919979,73.475914,1911900
2015-04-29,72.850511,73.522266,72.649755,72.989494,1527900
2015-04-30,72.726959,73.221121,72.047480,72.255959,1731900
2015-05-01,72.634324,73.475949,72.456731,73.391014,2113100
2015-05-04,73.607197,73.931491,73.499099,73.831116,1516400
2015-05-05,73.869729,74.387055,73.074435,73.182533,1094700
2015-05-06,73.483636,73.668952,72.827327,73.244278,1008100
2015-05-07,73.151618,73.584015,72.935422,73.367813,992200
2015-05-08,74.139948,74.425639,73.861987,74.062737,1096100
2015-05-11,74.047293,74.433359,73.954636,73.954636,1199000
2015-05-12,73.846556,74.116800,73.352393,73.831116,1157600
2015-05-13,74.039576,74.479690,73.738446,73.962364,1750400
2015-05-14,74.471978,75.329043,74.448815,75.251831,1324700
2015-05-15,75.329052,75.367661,74.417938,74.989319,1624100
2015-05-18,74.958424,75.081962,74.665011,74.850327,1152900
2015-05-19,75.027903,75.182333,74.541463,74.641838,1886100
2015-05-20,74.765403,74.865778,74.186305,74.649582,1014100
2015-05-21,74.649581,75.637907,74.526038,75.290451,1294400
2015-05-22,75.244123,75.329058,74.804008,74.804008,1270900
2015-05-26,74.726789,74.742235,73.298349,73.645805,2152700
2015-05-27,73.869723,74.417935,73.445055,74.263512,1251100
2015-05-28,74.000976,74.039585,73.298340,73.769341,1332800
2015-05-29,73.553144,73.885161,72.448997,72.448997,3743800
2015-06-01,72.835067,72.873670,71.808132,72.410393,1949300
2015-06-02,72.309995,73.360092,72.047467,73.051239,1479300
2015-06-03,73.136202,73.614919,73.004941,73.414169,1594300
2015-06-04,72.950901,73.066716,72.032064,72.155602,1481500
2015-06-05,71.970302,72.147895,71.591960,71.985748,1472000
2015-06-08,71.885364,72.001184,71.468412,71.476135,1878500
2015-06-09,71.568769,71.954834,71.344851,71.599655,1449400
2015-06-10,71.869915,73.267469,71.761817,73.035828,2234300
2015-06-11,73.120750,73.290619,72.734684,73.221130,1322000
2015-06-12,72.835063,73.043536,72.163308,72.348618,1149200
2015-06-15,71.591940,71.715478,71.144103,71.522446,1784600
2015-06-16,71.337138,71.769529,71.313975,71.545616,1823800
2015-06-17,71.715494,71.893086,70.858428,71.499298,1370000
2015-06-18,71.908523,72.487621,71.615116,72.217377,1712700
2015-06-19,72.055214,72.178758,71.591937,71.700035,3285000
2015-06-22,72.186457,72.456702,71.908490,72.394936,1350000
2015-06-23,72.317749,72.418124,71.908515,72.055222,1273700
2015-06-24,72.062946,73.136207,71.916239,72.711533,2072300
2015-06-25,72.950892,72.966332,71.653713,71.738647,1800800
2015-06-26,72.021962,72.200480,71.758057,72.014198,1476400
2015-06-29,71.191445,71.975391,70.950830,70.981873,1624700
2015-06-30,71.470859,71.874471,71.075005,71.245766,1702400
2015-07-01,71.719241,72.681705,71.385482,72.518707,2583400
2015-07-02,72.588553,72.836931,72.037464,72.495415,1662900
2015-07-06,71.641622,72.658419,71.641622,72.278091,1344300
2015-07-07,72.363462,72.953356,71.571753,72.829170,1891800
2015-07-08,72.332422,72.448845,71.028436,71.354431,1801600
2015-07-09,72.153871,72.456581,71.300072,71.300072,1439600
2015-07-10,72.340200,72.611869,71.796875,71.858971,1668700
2015-07-13,72.642887,72.844696,72.340176,72.759315,1362500
2015-07-14,72.697248,73.209525,72.596340,72.992195,1197600
2015-07-15,73.015463,73.139655,72.293613,72.472137,1455400
2015-07-16,73.162959,73.217292,72.495442,72.658440,1265200
2015-07-17,72.557519,73.046512,72.068520,72.200470,1379000
2015-07-20,72.161649,72.782591,71.983125,72.541977,1764100
2015-07-21,72.301355,72.425541,71.315600,71.532936,2055900
2015-07-22,72.006428,72.658424,68.971559,69.530411,4548700
2015-07-23,69.902948,70.508369,69.227673,69.390671,2469700
2015-07-24,69.289785,69.320833,68.187608,68.513603,1920100
2015-07-27,68.040134,68.187605,67.535614,67.729660,2596600
2015-07-28,67.993556,69.157829,67.807273,68.878403,1921200
2015-07-29,68.862902,69.460560,68.591240,69.344131,1255000
2015-07-30,69.018120,69.507119,68.901692,69.297546,1411400
2015-07-31,69.639076,69.755504,69.258748,69.445030,1702100
2015-08-03,69.460557,69.545937,68.490329,68.816330,1426800
2015-08-04,69.018127,69.103507,68.451517,68.567940,1690000
2015-08-05,69.212160,70.151339,69.157827,69.538155,1344800
2015-08-06,69.545931,69.724456,69.173367,69.250984,1026400
2015-08-07,69.188873,69.646823,69.033639,69.313065,1342100
2015-08-10,69.677905,70.943086,69.677905,70.927559,1258400
2015-08-11,70.073736,70.104784,69.080223,69.250984,1513200
2015-08-12,71.455349,71.455349,68.203148,69.344131,1626200
2015-08-13,69.111268,69.732210,68.769746,69.413979,968800
2015-08-14,69.359639,69.724445,69.235447,69.670113,824500
2015-08-17,69.297559,70.027172,68.831850,69.887459,752800
2015-08-18,69.887466,70.011653,69.476091,69.802086,764400
2015-08-19,69.173340,69.553668,68.692105,68.963768,957600
2015-08-20,68.552407,68.552407,67.830558,67.846085,1462100
2015-08-21,67.458005,67.597713,66.122971,66.146255,2253100
2015-08-24,62.117869,65.758166,61.155405,63.794426,3721000
2015-08-25,65.657245,65.789200,62.110092,62.164425,2899200
2015-08-26,63.522756,64.756889,62.932861,64.624939,2768800
2015-08-27,65.370077,66.192828,64.679275,65.835785,2341100
2015-08-28,65.517513,66.053074,65.199275,66.022026,1334800
2015-08-31,65.377836,65.991015,65.106168,65.610687,1610100
2015-09-01,63.957425,64.337752,63.157958,63.522758,2320900
2015-09-02,64.337722,64.539530,63.491686,64.182487,1631900
2015-09-03,65.013027,65.176024,64.384315,64.617172,1464200
2015-09-04,63.693514,63.856512,63.243333,63.460663,1547700
2015-09-08,64.609394,65.354528,64.407591,65.323486,1609100
2015-09-09,65.936648,66.091888,64.780139,64.849998,1689500
2015-09-10,64.710316,65.191545,64.306697,64.741364,1518400
2015-09-11,64.632709,64.873329,64.112668,64.873329,1242600
2015-09-14,64.811214,64.888831,64.019510,64.135933,1129500
2015-09-15,64.353264,65.688293,64.174740,65.556343,1591700
2015-09-16,65.556337,66.767179,65.401103,66.565376,1833900
2015-09-17,66.410172,67.458023,66.192841,66.410172,3093900
2015-09-18,65.610665,66.394610,65.455431,65.804710,4858400
2015-09-21,65.843533,66.169528,65.276917,65.408867,1792100
2015-09-22,64.547288,65.245847,64.368764,64.849998,2531100
2015-09-23,64.826720,64.904343,64.244583,64.586105,1754200
2015-09-24,63.887570,64.586136,63.088104,64.329994,2311300
2015-09-25,64.756884,64.850028,63.716796,63.980701,1809000
2015-09-28,63.621262,64.035401,62.792984,62.933636,1798300
2015-09-29,63.097710,63.957245,62.839848,63.558731,2204000
2015-09-30,64.207301,64.754282,63.543116,64.316696,1792900
2015-10-01,64.215109,64.637063,63.293062,63.722832,1600600
2015-10-02,62.769535,64.683952,62.636699,64.683952,1101200
2015-10-05,65.199689,66.950014,65.152801,66.910942,1686300
2015-10-06,66.824985,67.231314,66.660893,66.903130,1393400
2015-10-07,67.364125,68.419008,66.824960,67.489151,1039100
2015-10-08,67.286026,68.755048,67.121933,68.512817,1238400
2015-10-09,68.536236,69.153539,68.333071,68.497169,1474900
2015-10-12,68.583097,68.583097,68.090820,68.458076,860300
2015-10-13,67.973631,68.372144,67.543866,67.614189,890700
2015-10-14,67.426633,67.629797,66.293605,66.387375,1971800
2015-10-15,66.778121,66.903147,65.949843,66.848450,1616500
2015-10-16,66.942190,67.035959,65.668516,65.887306,2730600
2015-10-19,65.770110,65.887320,65.527879,65.676346,1672900
2015-10-20,65.652883,66.785911,65.371586,66.520233,2111000
2015-10-21,65.738863,67.348543,64.363609,66.848450,3203200
2015-10-22,67.153158,70.216228,66.856224,69.958366,3514400
2015-10-23,70.278749,70.864796,70.114657,70.786652,2088400
2015-10-26,70.802287,71.232058,70.489728,70.896057,1526300
2015-10-27,70.403774,71.028893,70.052148,70.778847,1636300
2015-10-28,70.708517,71.997821,70.708517,71.990005,1545100
2015-10-29,71.810280,72.021254,71.271115,71.825905,959400
2015-10-30,71.990014,72.286948,71.685270,71.841553,1739000
2015-11-02,71.880629,73.232447,71.747793,73.060539,1221100
2015-11-03,72.880824,73.287154,72.576080,72.677666,1993800
2015-11-04,72.943305,73.310562,72.497909,72.615120,1037100
2015-11-05,72.747948,73.169902,72.115019,72.747948,1109400
2015-11-06,72.357263,72.865172,71.677452,72.372894,2009100
2015-11-09,72.263498,72.341637,71.060148,71.411774,1312600
2015-11-10,71.153907,71.693072,70.864794,71.638374,900000
2015-11-11,72.208803,72.208803,71.060150,71.372704,1880900
2015-11-12,70.778835,71.505534,70.083393,70.106834,1543600
2015-11-13,70.122457,70.692879,69.833345,69.864601,1195000
2015-11-16,69.880236,71.232054,69.763025,71.169540,1333500
2015-11-17,71.310200,71.552431,70.294383,70.403778,1942000
2015-11-18,70.771031,71.661822,70.536610,71.591499,1226900
2015-11-19,71.575849,72.357245,71.028874,72.263481,1391600
2015-11-20,72.560417,73.459023,72.341627,73.091766,1971200
2015-11-23,73.154305,73.396536,72.787048,72.919884,1709300
2015-11-24,72.505727,73.162097,72.419773,72.974564,1305700
2015-11-25,72.974564,73.357446,72.833912,72.974564,1074900
2015-11-27,72.896424,73.208984,72.669819,72.826096,439900
2015-11-30,72.966743,73.552790,72.755768,73.435585,2228400
2015-12-01,73.685643,74.232618,73.107406,73.576248,2320800
2015-12-02,73.326200,73.732529,72.927693,72.966759,1656300
2015-12-03,73.037073,73.365258,71.693072,72.169724,1803100
2015-12-04,72.169736,73.740343,72.169736,73.701271,1982600
2015-12-07,73.130853,73.287135,72.654206,72.982391,1426400
2015-12-08,72.396324,72.661995,71.818092,72.115021,1794000
2015-12-09,71.810279,73.021439,71.599299,72.193161,1844000
2015-12-10,72.193158,73.466831,72.060322,72.896416,1760600
2015-12-11,71.950929,72.615114,71.294553,71.466461,1478400
2015-12-14,71.693079,72.622942,71.443033,72.583870,1960600
2015-12-15,72.779200,73.060503,71.958732,72.075943,1744400
2015-12-16,72.302561,73.505911,72.052514,73.427773,1565700
2015-12-17,73.412141,73.584049,72.310376,72.318192,2007600
2015-12-18,71.950940,72.044703,71.005451,71.044518,2650800
