Date,open,high,low,close,volume
2015-01-02,8.921734,8.953598,8.705063,8.832517,6203200
2015-01-05,8.781534,8.787907,8.558491,8.564863,7408500
2015-01-06,8.583983,8.590355,8.271722,8.303585,13236900
2015-01-07,8.399174,8.462900,8.290839,8.367311,11281200
2015-01-08,8.450156,8.564864,8.411920,8.539373,9180100
2015-01-09,8.539375,8.539375,8.297215,8.297215,9640000
2015-01-12,8.290840,8.316331,8.144268,8.195250,7665700
2015-01-13,8.265349,8.335448,8.016815,8.093287,11627300
2015-01-14,7.984951,7.984951,7.800144,7.914852,17117600
2015-01-15,7.882987,7.946714,7.672689,7.749161,12887000
2015-01-16,7.730047,7.902109,7.698184,7.902109,13083300
2015-01-20,7.895734,7.921224,7.781026,7.812889,12997600
2015-01-21,7.800145,7.902108,7.749164,7.857499,17101800
2015-01-22,8.029561,8.513883,8.023188,8.456530,30309300
2015-01-23,8.462902,8.571237,8.392803,8.456530,13642200
2015-01-26,8.469275,8.603101,8.418293,8.590355,10233900
2015-01-27,8.443783,8.577609,8.431038,8.482019,9656900
2015-01-28,8.552119,8.552119,8.239859,8.246231,12465100
2015-01-29,8.265350,8.431039,8.220741,8.411922,10502800
2015-01-30,8.271721,8.411920,8.246231,8.278094,10475500
2015-02-02,8.341821,8.488392,8.265349,8.456530,11852500
2015-02-03,8.507511,8.660455,8.501138,8.654082,12911600
2015-02-04,8.641338,8.717810,8.615847,8.634965,6868200
2015-02-05,8.775163,8.819772,8.717809,8.794281,12072400
2015-02-06,8.940851,9.112913,8.908988,9.023696,19184800
2015-02-09,8.921735,8.940853,8.832518,8.845263,10584200
2015-02-10,8.921734,8.921734,8.813398,8.908988,7236700
2015-02-11,8.883498,8.889871,8.787909,8.870753,12513400
2015-02-12,8.934478,9.068303,8.889869,9.042812,9700300
2015-02-13,9.068306,9.106542,8.934480,8.991834,8855500
2015-02-17,8.979089,9.030070,8.870753,9.017324,7620100
2015-02-18,9.004580,9.010953,8.858008,8.883499,6783000
2015-02-19,8.864380,8.877126,8.736927,8.858007,6637300
2015-02-20,8.813399,8.934480,8.711436,8.934480,7623400
2015-02-23,8.902612,8.915357,8.813395,8.864376,4633800
2015-02-24,8.896244,8.979089,8.870754,8.972716,7335300
2015-02-25,8.972716,9.049188,8.934480,9.017324,8384000
2015-02-26,8.985461,9.030070,8.921735,8.991834,8619600
2015-02-27,8.956622,9.020644,8.905404,8.918209,6735900
2015-03-02,8.918208,9.007838,8.892599,8.975827,5770700
2015-03-03,8.924611,9.001437,8.886198,8.963024,6771300
2015-03-04,8.899003,8.931014,8.828579,8.899003,11159100
2015-03-05,8.918209,9.014241,8.796568,9.014241,11170200
2015-03-06,9.039847,9.283129,9.020641,9.161489,13553800
2015-03-09,9.135884,9.193503,9.097471,9.174296,9683000
2015-03-10,9.065460,9.071862,8.924612,8.943819,11961500
2015-03-11,8.963024,9.135883,8.937415,9.110273,11370300
2015-03-12,9.263924,9.366358,9.212707,9.353554,16077500
2015-03-13,9.340753,9.404774,9.212710,9.289536,10739500
2015-03-16,9.334349,9.366360,9.231915,9.340752,8385700
2015-03-17,9.270326,9.353554,9.225511,9.353554,7821600
2015-03-18,9.334351,9.436785,9.161493,9.263927,13410300
2015-03-19,9.257523,9.270327,9.148686,9.238317,13281000
2015-03-20,9.276730,9.398372,9.257524,9.379165,12773900
2015-03-23,9.391968,9.398371,9.289534,9.315143,8403900
2015-03-24,9.283129,9.283129,9.161489,9.161489,10217900
2015-03-25,9.155090,9.161492,8.950220,8.982231,11280100
2015-03-26,8.963026,9.091069,8.899004,9.059058,10579000
2015-03-27,9.039850,9.039850,8.911807,8.963024,7237400
2015-03-30,9.052651,9.142281,9.027042,9.091063,4981800
2015-03-31,8.975827,9.078261,8.969424,9.065456,8104300
2015-04-01,9.020641,9.078261,8.956620,9.065456,17691400
2015-04-02,9.027047,9.142286,9.027047,9.123079,8030400
2015-04-06,9.020641,9.091065,8.918207,9.065456,7257700
2015-04-07,9.097471,9.180699,9.039851,9.123079,8558700
2015-04-08,9.110274,9.193502,9.059057,9.084665,6580400
2015-04-09,9.078264,9.123079,9.007839,9.084665,6776500
2015-04-10,9.078262,9.097468,8.969425,9.001436,9370300
2015-04-13,8.995036,9.129482,8.982232,9.123079,15194100
2015-04-14,9.116672,9.155085,9.001434,9.027042,14360800
2015-04-15,9.007839,9.148687,9.001438,9.084665,10846300
2015-04-16,9.001439,9.302341,8.899004,9.219112,21619400
2015-04-17,9.148685,9.199903,8.963023,9.020642,11848400
2015-04-20,9.084665,9.180697,9.046252,9.097469,8117700
2015-04-21,9.129478,9.167890,9.078260,9.078260,7977800
2015-04-22,9.065460,9.199906,9.001439,9.180699,10232000
2015-04-23,9.167895,9.212710,9.103873,9.180699,9558000
2015-04-24,9.174295,9.174295,9.103872,9.110273,7453200
2015-04-27,9.123082,9.167897,9.033451,9.033451,6984700
2015-04-28,9.027045,9.142283,8.969425,9.129479,7509700
2015-04-29,9.097471,9.321547,9.097471,9.276731,11081800
2015-04-30,9.308744,9.359961,9.199907,9.251124,11544500
2015-05-01,9.295939,9.327949,9.193504,9.219112,6469600
2015-05-04,9.283131,9.372761,9.225511,9.366359,7625300
2015-05-05,9.327947,9.494404,9.308741,9.379165,16124300
2015-05-06,9.225514,9.417579,9.206307,9.257524,19322100
2015-05-07,9.276727,9.283130,9.148684,9.187098,11857300
2015-05-08,9.251122,9.347155,9.174297,9.334351,9149200
2015-05-11,9.340752,9.481599,9.302338,9.436784,7701600
2015-05-12,9.379164,9.468795,9.289534,9.423980,14789800
2015-05-13,9.423981,9.584035,9.385568,9.552024,16405800
2015-05-14,9.577633,9.641655,9.507210,9.558427,11426600
2015-05-15,9.603243,9.603243,9.372765,9.411178,12852900
2015-05-18,9.430378,9.539215,9.411172,9.513606,6735500
2015-05-19,9.552021,9.673662,9.526413,9.673662,9194100
2015-05-20,9.654458,9.667262,9.558425,9.584034,6145400
2015-05-21,9.552024,9.622447,9.513611,9.552024,6833100
2015-05-22,9.564827,9.603240,9.500805,9.539218,4168700
2015-05-26,9.475198,9.513610,9.398372,9.488002,10449000
2015-05-27,9.526416,9.603242,9.494405,9.571231,8899300
2015-05-28,9.564823,9.590432,9.494400,9.513606,6664300
2015-05-29,9.510393,9.536132,9.381701,9.381701,12133000
2015-06-01,9.420304,9.446043,9.233700,9.336654,9810500
2015-06-02,9.323787,9.471784,9.310918,9.420307,8655500
2015-06-03,9.471785,9.619782,9.465350,9.549001,11391800
2015-06-04,9.362395,9.574738,9.362395,9.491088,9099200
2015-06-05,9.561868,9.742039,9.561868,9.716300,10996900
2015-06-08,9.709865,9.799949,9.671256,9.722733,8422400
2015-06-09,9.742042,9.896473,9.632653,9.870734,10789600
2015-06-10,9.922208,10.012293,9.870731,9.915773,11201000
2015-06-11,9.941512,9.954382,9.851428,9.883600,5434800
2015-06-12,9.877167,9.902905,9.793516,9.890036,6439300
2015-06-15,9.787080,9.935076,9.742037,9.877165,4386400
2015-06-16,9.857864,9.954384,9.819257,9.935080,5486000
2015-06-17,9.986555,10.038032,9.780646,9.812819,9836000
2015-06-18,9.844993,9.890036,9.729170,9.890036,8110700
2015-06-19,9.838561,9.890038,9.787084,9.787084,7472900
2015-06-22,9.896471,9.928644,9.857863,9.928644,5306100
2015-06-23,9.967252,10.083075,9.954383,10.070206,11432300
2015-06-24,10.057337,10.102379,9.928644,9.928644,6929000
2015-06-25,9.986556,10.025163,9.851428,9.890036,9773700
2015-06-26,9.928643,9.999424,9.870731,9.883600,7906200
2015-06-29,9.761342,9.844992,9.626215,9.632649,8719800
2015-06-30,9.703428,9.838555,9.639082,9.664821,10361600
2015-07-01,9.825689,9.877166,9.787080,9.851427,8132500
2015-07-02,9.819254,9.819254,9.645518,9.703430,8059700
2015-07-06,9.613346,9.677693,9.555435,9.658389,7355200
2015-07-07,9.632651,9.658389,9.420308,9.594043,9274100
2015-07-08,9.510391,9.542564,9.407437,9.413872,6481600
2015-07-09,9.626215,9.626215,9.484653,9.536130,5912000
2015-07-10,9.677693,9.709866,9.568304,9.600477,10268400
2015-07-13,9.709865,9.754907,9.651953,9.677691,10180200
2015-07-14,9.626214,9.767776,9.594041,9.767776,7509700
2015-07-15,9.812818,9.902903,9.767776,9.838556,10273900
2015-07-16,9.864294,9.902902,9.658386,9.761340,14588900
2015-07-17,9.716302,9.742040,9.523263,9.613347,11328300
