Date,open,high,low,close,volume
2015-01-02,23.753076,24.067462,23.730620,24.033779,8662300
2015-01-05,23.758690,23.966410,23.253424,23.382549,15811100
2015-01-06,23.157991,23.326412,22.579743,22.922201,20020800
2015-01-07,23.062543,23.382544,23.000788,23.225349,12045900
2015-01-08,23.320796,23.915885,23.281498,23.769920,15461200
2015-01-09,23.809217,23.859743,23.315179,23.472374,10290500
2015-01-12,23.354481,23.579044,23.101850,23.360096,12522900
2015-01-13,23.360100,23.534134,22.776237,22.955887,14166500
2015-01-14,22.697635,23.174829,22.579740,23.141146,13330500
2015-01-15,23.348870,23.416238,22.793077,22.888517,10391800
2015-01-16,22.939035,23.343248,22.860439,23.315176,8760800
2015-01-20,23.461150,23.528518,23.157990,23.477991,8786200
2015-01-21,23.550976,23.680099,23.477993,23.579046,10657600
2015-01-22,23.792382,24.101155,23.416239,23.623960,16916400
2015-01-23,23.859746,23.882203,23.562202,23.730623,11256400
2015-01-26,23.910273,23.943958,23.584657,23.730623,9304900
2015-01-27,23.674485,23.859750,23.663259,23.820452,9409800
2015-01-28,23.842903,23.859744,23.135530,23.219742,14269500
2015-01-29,23.276492,23.287844,22.674858,23.106218,14249900
2015-01-30,22.884864,23.565962,22.816755,23.299198,14652700
2015-02-02,23.475153,23.662453,22.896220,23.622723,13584500
2015-02-03,23.787326,23.821382,23.367315,23.543266,15759900
2015-02-04,23.418390,23.458122,23.100546,23.157303,12786300
2015-02-05,23.441099,23.605698,23.316232,23.548941,9425900
2015-02-06,23.639753,23.690835,23.435423,23.503532,8199000
2015-02-09,23.514876,23.611364,23.265141,23.384333,8192300
2015-02-10,23.441095,23.600020,23.270822,23.582991,7945500
2015-02-11,23.486505,23.639752,23.270823,23.390015,8115400
2015-02-12,23.588674,23.736244,23.463805,23.702188,8276900
2015-02-13,23.793000,23.832732,23.668133,23.821381,8533100
2015-02-17,23.827055,23.980303,23.702187,23.895164,9040600
2015-02-18,23.747595,23.963277,23.724891,23.940573,7872400
2015-02-19,23.707858,23.912187,23.707858,23.844076,7892600
2015-02-20,23.770293,23.855429,23.600019,23.764616,9710000
2015-02-23,23.679493,23.855442,23.622734,23.855442,7653300
2015-02-24,23.855430,24.025706,23.758942,23.934891,7879400
2015-02-25,23.934892,24.014355,23.849756,23.900839,7227000
2015-02-26,23.838401,23.855428,23.282172,23.395689,10869200
2015-02-27,23.401362,23.480823,23.162979,23.276493,10644300
2015-03-02,23.282179,23.429749,23.140284,23.174339,10911300
2015-03-03,23.242444,23.384339,23.004059,23.321905,7826000
2015-03-04,23.276495,23.310551,23.094869,23.293524,7788100
2015-03-05,23.231092,23.378662,23.145954,23.180010,5594600
2015-03-06,23.066495,23.134604,22.845138,22.935951,8754900
2015-03-09,22.879191,23.004057,22.720266,22.754322,9103800
2015-03-10,22.618102,22.845135,22.521614,22.754322,9492600
2015-03-11,22.714586,22.759991,22.532960,22.595394,8420900
2015-03-12,22.663506,22.663506,22.453501,22.572693,7540800
2015-03-13,22.442156,22.680539,22.391073,22.657835,8330700
2015-03-16,22.578375,23.134604,22.544322,23.055143,11277000
2015-03-17,23.049471,23.202718,22.856493,23.174339,10133200
2015-03-18,23.259469,23.736237,23.140277,23.588667,12010000
2015-03-19,23.543259,23.645424,23.424068,23.571638,8100100
2015-03-20,23.565965,23.906513,23.548939,23.906513,21224800
2015-03-23,23.849756,24.008678,23.696509,23.923542,8867900
2015-03-24,23.957593,23.980297,23.384337,23.395689,9430500
2015-03-25,23.554613,23.656777,23.338931,23.344608,9229100
2015-03-26,23.554611,23.605694,23.327578,23.429743,6586600
2015-03-27,23.390022,23.600029,23.338940,23.424078,7034100
2015-03-30,23.815703,23.957599,23.707864,23.878138,11577800
2015-03-31,23.770298,24.003007,23.679486,23.872463,10712700
2015-04-01,24.093815,24.093815,23.758942,23.792995,8302200
2015-04-02,23.730564,23.838404,23.588669,23.679482,6200000
2015-04-06,23.673808,23.923545,23.605699,23.821381,5482000
2015-04-07,23.827062,23.957605,23.775979,23.832739,6913000
2015-04-08,23.730571,24.054092,23.702190,23.866789,7602900
2015-04-09,23.815700,24.037056,23.792996,24.031382,7730500
2015-04-10,24.042734,24.377607,23.980300,24.366255,12245500
2015-04-13,24.360582,24.468424,24.315177,24.394638,10172200
2015-04-14,24.388958,24.462742,24.315172,24.411659,8755800
2015-04-15,24.428685,24.695447,24.428685,24.650042,12075800
2015-04-16,24.587605,25.024643,24.423006,24.791935,15156200
2015-04-17,24.633019,24.973566,24.587611,24.916809,13205700
2015-04-20,24.984922,25.200604,24.684105,24.808971,11344800
2015-04-21,24.837346,25.001946,24.723832,24.752211,7973100
2015-04-22,24.837341,25.087078,24.633014,25.013292,7393200
2015-04-23,25.058706,25.353846,25.030325,25.297089,11688300
2015-04-24,25.376554,25.376554,25.092764,25.166550,6702800
2015-04-27,25.228981,25.268711,24.922486,25.036003,8314800
2015-04-28,25.018788,25.076172,24.720401,24.789259,10311700
2015-04-29,24.760570,24.800737,24.542515,24.714663,9974300
2015-04-30,24.772036,24.783513,24.513816,24.645796,9123900
2015-05-01,24.680237,24.760575,24.531043,24.749098,6667800
2015-05-04,24.812211,24.869592,24.565466,24.576942,6317000
2015-05-05,24.651532,24.668749,24.427741,24.473648,5769800
2015-05-06,24.565454,24.640050,24.393305,24.485117,6358300
2015-05-07,24.399048,24.691698,24.272806,24.479383,7628800
2015-05-08,24.582674,24.708916,24.513816,24.691700,6884300
2015-05-11,24.668759,24.674496,24.347416,24.467918,5453400
2015-05-12,24.381843,24.576944,24.255601,24.502346,7106800
