Date,open,high,low,close,volume
2015-01-02,54.430785,55.079760,53.887463,54.242130,6029800
2015-01-05,53.955372,54.211940,53.645975,54.015743,11258700
2015-01-06,54.332679,54.687351,53.479960,53.744076,12838800
2015-01-07,54.121420,55.162795,53.962950,55.087334,8104100
2015-01-08,55.623069,56.430513,55.623069,56.407875,7608400
2015-01-09,56.317332,56.475801,55.947569,56.143772,8790600
2015-01-12,56.189031,56.400324,55.917367,56.196579,7294000
2015-01-13,56.505987,56.890845,54.740178,54.928833,9508300
2015-01-14,54.174226,54.679820,53.887472,54.159130,8702300
2015-01-15,54.551530,54.642087,53.940290,54.257229,13290200
2015-01-16,54.098779,54.974136,53.766744,54.906223,8832000
2015-01-20,55.042028,55.275958,54.038381,54.483604,10524900
2015-01-21,54.242131,55.268416,53.940287,55.132584,10793800
2015-01-22,55.064682,56.966324,55.064682,56.958782,17866600
2015-01-23,57.237950,58.400066,56.951196,58.068031,23255300
2015-01-26,58.007698,58.052973,56.581465,57.041779,34907400
2015-01-27,56.611653,57.056883,56.309810,56.792767,9927200
2015-01-28,56.483379,56.981431,55.396729,55.396729,12731800
2015-01-29,55.177888,55.374085,54.415719,55.094879,11889900
2015-01-30,54.966567,55.026938,53.736537,53.879917,15810900
2015-02-02,53.562999,54.921313,53.510176,54.906223,9912300
2015-02-03,55.449532,56.453174,55.192958,56.438084,9746400
2015-02-04,56.332435,56.664464,55.826841,55.940029,7378300
2015-02-05,56.694629,56.943655,56.377690,56.838009,5737700
2015-02-06,56.838005,57.094579,56.068295,56.196579,5421000
2015-02-09,56.038125,56.264508,55.441974,55.555168,5470800
2015-02-10,55.811729,56.641810,55.645711,56.498436,5663300
2015-02-11,56.521104,56.732397,55.872130,56.136246,7457700
2015-02-12,56.453179,56.626744,56.068326,56.543736,5542800
2015-02-13,56.189068,56.807856,55.638198,56.792767,9009400
2015-02-17,57.758670,59.086804,57.600200,58.913239,13476900
2015-02-18,58.913245,59.313193,58.837784,59.237732,7801400
2015-02-19,59.305632,59.305632,58.747215,58.958508,6900500
2015-02-20,58.830233,59.464117,58.445375,59.456570,6665200
2015-02-23,59.366022,59.954625,59.366022,59.803703,6051500
2015-02-24,59.698042,59.773503,59.411288,59.630123,4855900
2015-02-25,59.630129,59.916888,59.192453,59.335827,4598800
2015-02-26,59.418845,59.607500,59.147181,59.471668,5413500
2015-02-27,59.260359,59.433924,58.528376,58.551014,8848200
2015-03-02,58.551014,59.554661,58.551014,59.486748,5240300
2015-03-03,59.464118,59.599950,58.385010,58.883057,4662500
2015-03-04,58.528400,59.215108,58.143547,59.003815,5382900
2015-03-05,59.147175,59.584857,58.890607,59.237732,5780500
2015-03-06,58.860415,59.101894,57.675661,57.713394,7052400
2015-03-09,57.781316,58.196360,57.494562,58.030342,6134400
2015-03-10,57.736039,57.849233,57.230439,57.253082,5252700
2015-03-11,57.351179,58.105800,57.230437,57.388912,6954600
2015-03-12,57.268153,57.977498,57.200240,57.924675,4014400
2015-03-13,57.841665,57.864303,57.260604,57.705833,5289000
2015-03-16,58.022782,58.762313,58.007692,58.611385,6497300
2015-03-17,58.422729,58.483100,57.660566,57.894497,4497300
2015-03-18,57.668108,59.011332,57.426630,58.566109,5858300
2015-03-19,59.064145,59.064145,58.309525,58.603832,4794000
2015-03-20,59.147160,59.199983,58.634018,58.875496,9159500
2015-03-23,58.860422,59.516944,58.807599,59.366016,6150800
