date,open,high,low,close,volume
2015-01-02,95.564089,95.778756,94.415302,95.186966,2531214
2015-01-05,94.571930,94.943251,92.877761,93.040207,4416708
2015-01-06,93.307113,93.626212,91.520106,92.048080,4224272
2015-01-07,92.773330,92.993810,92.216343,92.715317,3685235
2015-01-08,93.208463,94.972261,93.133043,94.937447,3758908
2015-01-09,95.065115,95.152151,93.568216,93.771278,2844806
2015-01-12,94.218031,94.218031,92.842972,93.260712,2570443
2015-01-13,94.125191,95.372608,92.512245,93.191071,3232788
2015-01-14,92.274359,93.138850,91.961051,92.738518,2372266
2015-01-15,93.347696,93.666806,92.465798,92.634056,2244653
2015-01-16,92.750112,94.096170,92.303371,93.991737,2810241
2015-01-20,94.409486,94.804017,92.866168,93.956932,2501793
2015-01-21,93.794453,94.786586,93.423132,94.305031,1910849
2015-01-22,94.722777,96.306712,94.067150,96.248688,2662057
2015-01-23,96.167457,96.300902,95.099893,95.163719,2685738
2015-01-26,94.931670,95.314607,93.875721,95.291397,4253335
2015-01-27,94.171595,95.813543,93.376722,94.937447,5012077
2015-01-28,95.506030,96.643212,95.012870,95.117302,4275222
2015-01-29,95.192751,96.405354,94.502310,96.387947,3198822
2015-01-30,95.587288,95.859979,94.165810,94.165810,4260032
2015-02-02,94.061360,95.511850,93.347720,95.395813,2846121
2015-02-03,95.830943,96.422744,95.564055,96.277695,3115341
2015-02-04,96.184897,96.213899,95.291394,95.622108,2826866
2015-02-05,95.912195,96.654837,95.587283,96.631638,2452398
2015-02-06,96.445972,97.287255,96.057244,96.353134,2184972
2015-02-09,95.372600,96.045634,95.059292,95.639488,2479308
2015-02-10,95.964395,96.393739,95.500236,96.208084,2254580
2015-02-11,96.047554,96.310264,95.434557,96.024200,2027340
2015-02-12,96.286919,96.882401,96.240211,96.859047,1932377
2015-02-13,96.853187,97.273525,96.520416,96.876541,2143232
2015-02-17,96.876534,97.448662,96.380296,97.448662,2512676
2015-02-18,97.448664,97.793113,96.917406,97.728889,1856192
2015-02-19,97.728925,97.816502,97.250202,97.547943,1971965
2015-02-20,97.343593,98.236816,96.403663,98.149239,2890254
2015-02-23,98.160922,98.587098,97.904050,98.552078,2195856
2015-02-24,98.236812,98.808940,98.120043,98.733040,2117279
2015-02-25,98.645486,99.048308,98.441150,98.598778,2414844
2015-02-26,98.575397,99.235102,98.452799,99.019089,2140122
2015-02-27,99.048307,99.100854,98.406128,98.458664,2327416
2015-03-02,98.172582,99.538689,98.149228,99.538689,2658828
2015-03-03,98.995746,99.013262,97.705540,98.236809,2669950
2015-03-04,98.230950,98.230950,97.180099,97.588760,1884537
2015-03-05,97.617966,97.904030,97.314387,97.828140,1850451
2015-03-06,97.203488,97.361116,95.749814,95.954140,2528822
2015-03-09,96.164305,97.366946,96.041708,97.127579,1923288
2015-03-10,96.216846,96.246028,94.722303,94.728142,3067262
2015-03-11,94.985013,95.288593,94.377855,94.418724,2265583
2015-03-12,94.920775,96.047526,94.909109,96.018333,2051140
2015-03-13,95.755641,95.971643,94.447919,95.008369,2732501
2015-03-16,95.498775,97.069218,95.498775,97.034187,2524995
2015-03-17,96.631375,96.637214,95.382027,95.878265,3059248
2015-03-18,95.253562,97.466184,94.605545,97.185959,3662630
2015-03-19,97.004991,97.034184,96.240204,96.713089,2336386
2015-03-20,96.964134,97.571293,96.555473,97.197662,5228673
2015-03-23,97.396149,97.442857,96.812344,96.987488,2580131
2015-03-24,96.666404,97.874883,96.637222,97.098419,2500836
2015-03-25,97.051687,97.215153,94.961662,94.985016,3038916
2015-03-26,94.576369,95.376176,94.115161,94.920807,2452637
2015-03-27,94.786521,95.685582,94.588034,95.452065,2060230
2015-03-30,95.860722,97.361104,95.860722,96.940765,2014064
2015-03-31,96.567117,96.911566,96.105910,96.298569,2489235
2015-04-01,95.913279,96.059230,94.517980,94.879944,2569128
2015-04-02,95.382011,95.726460,94.646416,95.043411,2215710
2015-04-06,94.377864,96.905743,94.226075,96.608002,3062119
2015-04-07,96.561303,97.828167,96.491252,97.034187,2965482
2015-04-08,97.034175,97.623819,96.450371,97.069206,2098262
2015-04-09,97.057508,97.600444,96.374450,97.372765,2009400
2015-04-10,97.787268,97.904027,97.039997,97.536224,1796272
2015-04-13,97.355276,97.705553,96.678056,96.818169,2225038
2015-04-14,96.514608,97.191818,95.843226,96.905754,2289503
2015-04-15,97.331916,97.693869,96.829839,97.168449,2386977
2015-04-16,96.753954,97.291051,96.386151,96.847359,1988709
2015-04-17,96.053384,96.059222,94.068441,94.407051,3663946
