date,open,high,low,close,volume
2015-01-02,91.744445,92.012961,89.908396,90.996964,438400
2015-01-05,90.271250,90.343820,87.854629,88.065086,663800
2015-01-06,88.195697,88.282784,85.575879,86.091133,887500
2015-01-07,86.969235,87.172438,85.329131,86.272552,748100
2015-01-08,87.150696,88.261039,86.787840,88.021553,753100
2015-01-09,87.948992,87.948992,86.250824,86.250824,582500
2015-01-12,86.250815,86.250815,84.828421,85.684761,1159800
2015-01-13,86.229054,86.962024,85.815398,86.250824,1703100
2015-01-14,84.930033,85.561405,81.969129,83.681808,1355900
2015-01-15,83.362500,84.494608,82.498901,83.006897,1020400
2015-01-16,82.731125,84.066432,82.520668,83.478607,1232600
2015-01-20,83.638243,84.842927,81.744136,81.903793,1013500
2015-01-21,81.642537,82.549676,81.120024,81.482880,1092500
2015-01-22,81.845750,85.292880,81.780438,85.002594,966700
2015-01-23,84.610684,85.067885,83.594692,83.616463,438500
2015-01-26,83.456818,84.842929,82.912534,84.835670,602500
2015-01-27,83.848713,84.835681,83.551168,84.291397,828500
2015-01-28,84.545401,84.857457,82.527924,82.527924,1107800
2015-01-29,82.455335,83.812412,82.201332,83.747101,680600
2015-01-30,82.462608,83.464094,82.048953,82.121529,1035200
2015-02-02,82.738383,83.993861,82.157812,83.855980,973900
2015-02-03,84.182564,85.887985,84.182564,85.844444,706100
2015-02-04,85.532360,86.758814,85.438019,86.062126,866500
2015-02-05,86.337915,86.809628,86.229057,86.693512,770000
2015-02-06,88.036054,89.915650,87.274060,88.282799,841800
2015-02-09,87.571605,88.115889,87.020068,87.520805,467700
2015-02-10,88.108639,88.130409,87.172470,87.919952,412100
2015-02-11,87.586125,87.832865,86.925725,87.470009,419700
2015-02-12,87.774805,89.560060,87.687723,89.538284,792800
2015-02-13,89.683430,90.271254,89.153658,89.915657,747200
2015-02-17,89.908388,90.568788,89.255246,90.009987,631500
2015-02-18,89.770507,89.915653,88.130403,88.319084,775100
2015-02-19,88.268268,88.529524,87.332100,87.963470,709300
2015-02-20,87.615175,88.253799,86.693518,88.057854,1243000
2015-02-23,87.847393,88.079621,87.382938,87.956245,468100
