Date,open,high,low,close,volume
2015-01-02,41.395769,41.567266,40.349619,40.744068,4985800
2015-01-05,40.521112,40.538262,39.929435,40.088074,6889200
2015-01-06,40.255294,40.366770,39.474970,39.852268,7576000
2015-01-07,40.135251,40.859839,39.916587,40.675476,7256000
2015-01-08,41.014175,41.631572,40.997025,41.614422,5978200
2015-01-09,41.558696,41.584420,40.988458,41.155670,4689000
2015-01-12,41.121372,41.382907,40.829823,41.099934,5630800
2015-01-13,41.305723,41.781635,40.572562,40.735489,6182200
2015-01-14,40.036620,40.461084,39.835111,40.178108,6750400
2015-01-15,40.572560,40.593999,39.689337,39.792236,4235000
2015-01-16,39.775090,39.929440,39.457816,39.869415,8770000
2015-01-20,40.062356,40.255292,39.710781,40.135242,9403800
2015-01-21,39.920869,40.358192,39.877994,40.092369,5854000
2015-01-22,40.452533,41.207133,40.113820,41.095657,6952400
2015-01-23,41.219969,41.481507,41.009883,41.228546,6781000
2015-01-26,41.159970,41.361483,40.967034,41.310032,4964000
2015-01-27,40.859831,40.924141,40.353907,40.516830,6696800
2015-01-28,40.731206,40.868406,39.980895,40.006618,6402600
2015-01-29,40.160975,40.675476,39.946600,40.675476,6802400
2015-01-30,40.268150,40.456801,39.487826,39.552139,8106400
2015-02-02,39.736503,39.740791,38.917590,39.410652,8056600
2015-02-03,39.543568,40.040916,39.457816,40.023766,7940200
2015-02-04,39.775090,39.989465,39.560715,39.676479,7187400
2015-02-05,39.822250,40.126661,39.685050,40.019474,5754400
2015-02-06,40.045206,40.075219,39.247732,39.354919,7381800
2015-02-09,39.230577,39.316325,38.883291,39.089088,7339400
2015-02-10,39.333480,39.916579,39.110531,39.766518,7694600
2015-02-11,39.655041,39.766517,38.994766,39.149117,8541000
2015-02-12,39.213433,39.727934,38.930460,39.444958,11855800
2015-02-13,39.453532,39.689345,39.402084,39.462109,7695600
2015-02-17,39.333479,39.830830,39.324905,39.384930,7371000
2015-02-18,39.247730,40.203840,39.200568,40.139530,8143800
2015-02-19,40.079514,40.413938,40.079514,40.173836,6605200
2015-02-20,40.135253,40.855553,40.023777,40.701202,7398000
2015-02-23,40.696900,40.829814,40.422500,40.735489,4622200
2015-02-24,40.624020,40.962733,40.624020,40.911282,5239200
2015-02-25,40.911286,41.674459,40.911286,41.511536,7053600
2015-02-26,41.563122,41.851216,41.558821,41.705017,5935000
2015-02-27,41.687820,41.885620,41.550223,41.760921,7118600
2015-03-02,41.662024,42.509111,41.601825,42.461811,11025000
2015-03-03,42.328512,42.341412,41.760922,42.126415,7038400
2015-03-04,41.997414,42.083415,41.692120,41.932915,4853000
2015-03-05,42.122112,42.431708,42.049014,42.337109,6633600
2015-03-06,42.337107,42.436007,41.537320,41.670620,7174600
2015-03-09,41.748031,42.061927,41.683534,41.894230,5938800
2015-03-10,41.459933,41.696431,41.386835,41.498634,7096000
2015-03-11,41.442730,41.743727,40.926740,40.995537,7484200
2015-03-12,41.064335,41.752323,41.012734,41.726524,5809800
2015-03-13,41.726521,41.915719,40.978334,41.197628,7396200
2015-03-16,41.365328,41.623327,41.249231,41.468529,8497000
2015-03-17,41.339526,41.614722,41.068632,41.511524,6408200
2015-03-18,41.511526,42.083417,41.111632,41.928619,8855600
2015-03-19,42.057631,42.405927,41.799635,42.276928,13536000
2015-03-20,44.130189,44.628983,43.536800,43.850697,29779800
2015-03-23,43.665788,44.117278,43.515288,43.627087,10471800
2015-03-24,43.450799,43.713095,43.257300,43.278801,7598800
2015-03-25,43.429297,43.506696,42.543512,42.565010,8133400
2015-03-26,42.285513,43.038001,41.997418,42.711208,9479800
2015-03-27,42.620908,43.076700,42.620908,42.947701,4403600
2015-03-30,43.528203,43.665801,43.231507,43.382004,5435400
