date,open,high,low,close,volume
2015-01-02,13.562000,13.698000,13.254000,13.476000,4079000
2015-01-05,13.314000,13.674000,13.286000,13.430000,4002500
2015-01-06,13.436000,13.574000,13.034000,13.266000,4279500
2015-01-07,13.382000,13.494000,13.200000,13.418000,3115000
2015-01-08,13.574000,13.816000,13.488000,13.778000,3185500
2015-01-09,13.856000,13.856000,13.246000,13.422000,5185500
2015-01-12,13.424000,13.688000,13.300000,13.638000,3996500
2015-01-13,13.560000,13.888000,13.292000,13.454000,3142000
2015-01-14,13.238000,13.320000,13.084000,13.268000,3778000
2015-01-15,13.338000,13.338000,12.688000,12.726000,5086500
2015-01-16,12.724000,12.842000,12.620000,12.792000,4186000
2015-01-20,12.768000,13.010000,12.510000,12.966000,4396000
2015-01-21,12.942000,13.368000,12.874000,13.104000,3778000
2015-01-22,13.238000,13.310000,12.914000,13.228000,2451000
2015-01-23,13.318000,13.900000,13.310000,13.748000,5149000
2015-01-26,13.740000,13.740000,13.300000,13.602000,4417000
2015-01-27,13.452000,13.636000,13.282000,13.582000,4398500
2015-01-28,13.700000,14.042000,13.388000,13.782000,13367500
2015-01-29,14.610000,14.870000,14.008000,14.776000,18760000
2015-01-30,14.522000,14.690000,14.100000,14.580000,11167500
2015-02-02,14.466000,14.600000,14.014000,14.598000,10424000
2015-02-03,14.598000,14.688000,14.346000,14.530000,6679500
2015-02-04,14.500000,14.950000,14.392000,14.922000,8044000
2015-02-05,14.980000,15.054000,14.758000,14.844000,7747500
2015-02-06,14.784000,15.030000,14.672000,14.988000,5269000
2015-02-09,14.854000,14.930000,14.554000,14.576000,4653000
2015-02-10,14.626000,14.708000,14.510000,14.664000,5740000
2015-02-11,14.564000,14.800000,14.492000,14.776000,5199000
2015-02-12,14.776000,15.194000,14.770000,15.190000,7444500
2015-02-13,15.250000,15.528000,14.998000,15.510000,7354500
2015-02-17,15.424000,15.450000,15.092000,15.376000,4748500
2015-02-18,15.400000,15.544000,15.220000,15.496000,4356000
2015-02-19,15.476000,15.798000,15.414000,15.632000,5288000
2015-02-20,15.582000,15.860000,15.504000,15.812000,5021500
2015-02-23,15.754000,15.874000,15.672000,15.734000,5621000
2015-02-24,15.756000,15.800000,15.586000,15.750000,5782500
2015-02-25,15.634000,15.882000,15.614000,15.806000,7113000
2015-02-26,16.002001,16.247999,15.772000,15.906000,9801000
2015-02-27,15.840000,15.840000,15.190000,15.252000,17710000
2015-03-02,15.194000,15.360000,15.026000,15.288000,6910000
2015-03-03,15.224000,15.388000,14.922000,15.090000,5740500
2015-03-04,14.994000,15.012000,14.674000,14.720000,5951500
2015-03-05,14.720000,15.088000,14.690000,14.940000,5260500
2015-03-06,14.856000,15.058000,14.704000,14.812000,4537000
2015-03-09,14.800000,14.864000,14.484000,14.848000,3608500
2015-03-10,14.720000,14.814000,14.522000,14.718000,4367500
2015-03-11,14.750000,14.962000,14.688000,14.848000,3551000
2015-03-12,14.870000,15.332000,14.848000,15.332000,8906500
2015-03-13,15.324000,15.460000,15.194000,15.384000,5583500
2015-03-16,15.452000,15.836000,15.390000,15.730000,6064500
2015-03-17,15.834000,16.030001,15.780000,15.980000,7845500
2015-03-18,16.000000,16.200001,15.812000,16.010000,5630500
2015-03-19,15.976000,16.198000,15.970000,16.091999,3511000
2015-03-20,16.108000,16.200001,15.800000,15.876000,6524500
2015-03-23,15.874000,15.964000,15.752000,15.856000,2851000
2015-03-24,15.856000,16.077999,15.810000,15.850000,3274500
2015-03-25,15.898000,15.898000,15.222000,15.240000,7154000
2015-03-26,15.112000,15.536000,15.000000,15.406000,8105000
2015-03-27,15.462000,15.760000,15.380000,15.694000,3912500
2015-03-30,15.792000,16.000000,15.766000,15.888000,3058000
2015-03-31,15.852000,16.007999,15.722000,15.756000,4875000
2015-04-01,15.710000,15.754000,15.026000,15.130000,9934000
2015-04-02,15.150000,15.246000,15.028000,15.224000,5646000
2015-04-06,15.386000,15.820000,15.196000,15.648000,8950000
2015-04-07,15.738000,15.990000,15.666000,15.694000,4210500
2015-04-08,15.752000,16.200001,15.752000,16.167999,5687000
