Date,open,high,low,close,volume
2015-01-02,50.084436,50.284238,49.425820,49.988235,676000
2015-01-05,49.588622,49.692224,48.093782,48.152985,1420400
2015-01-06,48.263991,48.360192,46.628549,46.798756,1520100
2015-01-07,47.198378,47.671989,46.865371,47.553589,798600
2015-01-08,47.916191,48.471205,47.916191,48.293602,801300
2015-01-09,48.249199,48.389804,47.435179,47.442581,1045300
2015-01-12,47.464775,47.671979,46.672955,46.872761,1102000
2015-01-13,47.338978,47.768190,46.584159,46.961567,1121200
2015-01-14,46.325137,46.754349,45.385316,46.066132,1339200
2015-01-15,46.088338,46.332546,45.496324,45.725731,1219800
2015-01-16,45.614737,46.117950,45.215127,46.103149,1223900
2015-01-20,46.214135,46.480542,45.666521,46.206734,1422200
2015-01-21,49.869838,50.424851,48.648806,49.078018,3359200
2015-01-22,49.196414,50.780053,49.018806,50.321239,2236800
2015-01-23,50.069635,50.535845,49.448017,49.492416,1863300
2015-01-26,49.462810,50.040029,49.122402,50.032627,947400
2015-01-27,49.551635,49.906846,49.018820,49.070621,1286200
2015-01-28,49.314816,49.381420,47.982780,47.982780,1524600
2015-01-29,47.901392,49.174219,47.723783,49.144623,1399200
2015-01-30,48.486006,49.337029,47.597987,48.382404,1570900
2015-02-02,48.804218,49.337032,48.441611,49.292633,1249100
2015-02-03,49.448019,50.506245,49.448019,50.424843,1325600
2015-02-04,50.217633,50.876249,49.995625,50.136230,1255900
2015-02-05,50.202830,50.972450,50.091832,50.698647,981600
2015-02-06,50.950253,52.112082,50.698650,51.512669,1499000
2015-02-09,51.172268,51.497872,50.928061,51.016865,709600
2015-02-10,51.261053,51.808671,51.135251,51.727268,1338000
2015-02-11,51.705094,52.482110,51.520090,52.230507,1321500
2015-02-12,52.245275,52.548685,51.904867,52.237873,1490300
2015-02-13,52.186078,52.459887,51.601468,51.860474,1370300
2015-02-17,51.690281,52.008489,51.638480,51.956688,927100
2015-02-18,51.875285,52.030688,50.979863,51.194469,996300
2015-02-19,51.142666,51.534875,51.009463,51.527473,1452100
2015-02-20,51.290656,51.956674,50.965052,51.860474,1393000
2015-02-23,51.719876,51.912282,51.357269,51.904881,1099700
2015-02-24,51.934474,53.162901,51.875271,52.607887,1523300
2015-02-25,52.496890,52.748494,52.252683,52.622692,886500
2015-02-26,52.659691,52.815094,51.734669,51.934471,1488400
2015-02-27,51.771688,52.082494,51.668086,51.675488,1086400
2015-03-02,51.860484,52.237889,51.564475,52.178692,654800
2015-03-03,52.126890,52.319291,51.594076,51.927082,835600
2015-03-04,51.614805,51.852730,51.287663,51.577633,746500
2015-03-05,51.562756,51.837858,51.309963,51.659416,546500
2015-03-06,51.414061,53.347198,51.101786,52.313713,1776500
2015-03-09,52.388062,52.596245,51.949390,52.425240,970800
2015-03-10,51.741186,52.053467,51.495831,51.585049,1254300
2015-03-11,51.614813,52.105536,51.555330,51.912220,844900
2015-03-12,52.410370,53.057230,52.083227,52.715214,1089200
2015-03-13,52.596245,52.767256,52.060913,52.692905,795700
2015-03-16,52.886219,53.458729,52.678036,53.436424,705100
2015-03-17,53.295149,53.659470,52.930828,53.599987,1073100
2015-03-18,53.607416,54.068397,52.648281,53.020039,1906700
2015-03-19,52.811869,53.176189,52.276537,52.737518,1094700
2015-03-20,52.878773,53.250530,52.573929,53.049778,1396700
2015-03-23,53.139023,53.295160,52.514467,52.581387,844200
2015-03-24,52.454985,52.559076,51.756079,51.770947,1113900
2015-03-25,51.793237,51.793237,50.930758,51.190987,1271500
2015-03-26,51.027424,52.001432,50.685408,51.763508,1569800
2015-03-27,51.651981,51.718895,51.205874,51.547890,688800
2015-03-30,51.986574,52.298849,51.711477,51.994011,739800
2015-03-31,51.778376,52.165007,51.339705,51.785812,1036100
2015-04-01,51.570206,52.224497,51.213316,52.083233,1315200
2015-04-02,51.956816,52.640854,51.830420,52.566498,987000
2015-04-06,52.150143,52.573946,51.704035,52.373199,921800
2015-04-07,52.402941,52.923399,52.098097,52.789566,940200
2015-04-08,52.767271,53.101851,52.573955,52.923409,766800
2015-04-09,53.020037,53.020037,52.432659,52.945686,891600
2015-04-10,52.975441,53.042355,52.536770,52.685471,1147600
2015-04-13,52.685469,53.317455,52.499590,53.131577,1245200
2015-04-14,53.005182,53.176188,52.618551,53.042355,726100
2015-04-15,53.034925,53.191063,52.863915,52.901093,1370000
2015-04-16,52.752371,52.871336,52.358309,52.796986,867700
2015-04-17,52.343454,52.611120,51.763514,51.919651,1362900
2015-04-20,52.417810,52.507034,52.090662,52.217064,1133300
2015-04-21,53.837910,53.934564,52.878775,53.451279,2140000
2015-04-22,53.726387,54.923447,53.481026,54.908573,2138800
2015-04-23,54.863979,55.220863,54.276602,54.863979,1735800
2015-04-24,54.797041,55.027534,53.800734,54.350933,1426500
