date,open,high,low,close,volume
2015-01-02,28.035355,28.339353,27.893490,28.305576,2924800
2015-01-05,28.028610,28.238029,27.454390,27.616524,3519300
2015-01-06,27.711097,28.332602,27.630031,27.650297,4450200
2015-01-07,27.778648,28.170468,27.555717,28.075891,5295600
2015-01-08,28.217765,28.447452,28.129942,28.319096,3345700
2015-01-09,28.406914,28.406914,27.832697,27.920519,2233600
2015-01-12,28.116423,28.170468,27.731359,27.961046,2924000
2015-01-13,28.197492,28.832508,28.123181,28.312334,3317600
2015-01-14,28.190729,28.589304,27.994819,28.569038,2849200
2015-01-15,28.582549,28.954101,28.413661,28.818991,1954300
2015-01-16,28.900064,29.433750,28.879798,29.420238,3212100
2015-01-20,29.548600,29.582378,29.055446,29.366201,2381900
2015-01-21,29.237846,29.974197,29.062204,29.926908,3858700
2015-01-22,29.940423,30.028246,29.413494,29.602648,3711200
2015-01-23,29.683713,29.974200,29.602648,29.724247,2160600
2015-01-26,29.670193,29.676950,29.237841,29.595884,1977000
2015-01-27,29.454012,29.744499,29.251348,29.568857,1773400
2015-01-28,29.528334,29.872866,29.129759,29.197315,2729400
2015-01-29,29.204079,29.717499,29.095991,29.629677,4444800
2015-01-30,29.474278,29.562098,28.805482,28.832504,3181400
2015-02-02,28.798731,28.920330,28.163711,28.785219,4074100
2015-02-03,28.778470,29.210824,28.609582,29.183802,3291400
2015-02-04,29.048695,29.197317,28.454209,28.494743,3717000
2015-02-05,28.731180,29.028424,28.542027,28.954113,2113700
2015-02-06,28.717663,28.724420,27.224696,27.420607,3887000
2015-02-09,27.346304,27.555726,27.035551,27.204439,3792900
2015-02-10,27.231464,27.738127,27.197685,27.663816,3770100
2015-02-11,27.494923,27.515188,26.988259,27.082836,2707300
2015-02-12,27.190925,27.190925,26.812615,26.873415,3305100
2015-02-13,26.819367,26.859898,26.346481,26.589680,2630000
2015-02-17,26.589686,26.913951,26.366753,26.785597,4991500
2015-02-18,26.704527,27.440878,26.704527,27.386835,3191700
2015-02-19,27.386836,27.562478,27.116614,27.211191,2943000
2015-02-20,28.021862,28.373149,27.488176,28.123196,5559100
2015-02-23,28.129937,28.825754,28.123183,28.778465,4876900
2015-02-24,28.832510,29.514816,28.805488,29.156775,4772000
2015-02-25,29.237849,29.271628,28.454210,28.528521,3866700
2015-02-26,28.623091,28.839267,28.406915,28.515003,3750200
2015-02-27,28.474465,28.528508,28.183978,28.413666,3901400
2015-03-02,28.373136,28.535269,27.400344,27.657051,4593200
2015-03-03,27.657055,28.346117,27.542212,28.325851,5028200
2015-03-04,28.177226,28.190738,27.650297,27.920519,4557500
2015-03-05,28.062381,28.339357,27.900248,28.001581,3502500
2015-03-06,27.762910,27.762910,26.958188,27.026386,5304100
2015-03-09,27.053645,27.360531,27.019547,27.155941,3810500
2015-03-10,27.115032,27.646968,26.992280,27.319624,3862000
2015-03-11,27.265066,27.490117,27.115032,27.428740,4315400
2015-03-12,27.571954,28.001595,27.449200,27.858379,3272300
2015-03-13,27.837913,27.837913,27.346896,27.653782,3168400
2015-03-16,27.708334,28.322103,27.687873,28.117514,2601200
2015-03-17,28.008408,28.328934,27.994768,28.124344,2141900
2015-03-18,28.124347,29.045002,27.953855,28.792675,3787800
2015-03-19,28.642642,28.915430,28.322116,28.553986,2956100
2015-03-20,28.690372,28.894962,28.438045,28.717651,4304900
2015-03-23,28.738124,29.045010,28.731306,28.949535,2586800
2015-03-24,28.888140,29.079090,28.438041,28.519876,1914500
2015-03-25,28.594901,28.731295,28.288015,28.301655,2814700
2015-03-26,28.281195,28.492603,27.933390,28.083424,1934000
2015-03-27,28.076597,28.444860,27.960664,28.185715,1781400
2015-03-30,28.274370,28.710829,28.124339,28.622175,1743500
2015-03-31,28.663094,28.772209,28.342571,28.588078,2913700
2015-04-01,28.131151,28.267545,27.687872,28.137970,4105800
2015-04-02,28.151622,28.465329,28.144804,28.192541,3980700
2015-04-06,28.274368,29.195025,28.260728,28.915419,3198200
2015-04-07,28.983626,29.017724,28.465332,28.533527,2372900
2015-04-08,28.492603,28.635819,28.274374,28.438047,2025600
2015-04-09,28.383488,28.417586,28.097063,28.144800,2352600
2015-04-10,28.192539,28.628998,28.151620,28.417587,1971600
2015-04-13,28.363030,28.444865,27.899292,27.947029,1628200
2015-04-14,28.001578,28.294824,27.967478,28.131151,1425600
2015-04-15,28.199347,28.594889,28.090232,28.137970,1276000
2015-04-16,28.124348,28.335756,27.721986,28.178904,2423700
2015-04-17,28.022046,28.274373,27.790177,27.947029,1919200
2015-04-20,28.028859,28.710827,27.974303,28.519876,2127400
2015-04-21,28.547171,28.758580,28.022056,28.103891,2713500
2015-04-22,28.322107,28.649451,28.206174,28.540337,2606500
2015-04-23,28.567627,28.710839,28.478970,28.615364,2313200
2015-04-24,28.553973,29.017711,28.444858,28.840401,2898600
2015-04-27,28.983622,29.017720,28.172082,28.369850,2608100
2015-04-28,28.294831,28.676731,28.110699,28.669912,2022900
2015-04-29,28.533516,28.649449,28.274368,28.519876,1973900
2015-04-30,28.424409,28.485786,27.974310,28.328934,4176000
2015-05-01,28.192545,28.635825,28.028871,28.615364,2736000
2015-05-04,28.656277,29.276867,28.601718,29.113194,3347600
2015-05-05,28.990436,29.024537,28.328930,28.342569,4280300
2015-05-06,28.458505,28.553980,28.117521,28.465326,3426000
2015-05-07,28.594906,28.894971,28.478970,28.615364,2903000
2015-05-08,28.949515,29.106367,28.533514,28.683548,3851600
2015-05-11,28.642633,28.969977,28.581256,28.676731,3863100
2015-05-12,28.519878,28.622174,28.281190,28.567616,2733900
2015-05-13,28.642639,28.779033,28.267558,28.424410,2726200
2015-05-14,28.608534,28.854043,28.540336,28.833582,3172300
2015-05-15,28.956332,29.208662,28.826759,29.010891,3518800
2015-05-18,28.874502,29.106371,28.799485,29.072273,2422300
2015-05-19,28.922241,29.385979,28.806308,29.345060,3019900
2015-05-20,29.358699,29.679225,29.208668,29.549652,3496000
2015-05-21,29.542827,29.856531,29.426894,29.842892,3020900
2015-05-22,29.747431,29.986121,29.590579,29.911104,3076600
2015-05-26,29.829257,29.829257,29.317781,29.406435,2896200
2015-05-27,29.529194,29.590571,29.358702,29.495096,3912700
2015-05-28,29.433724,29.583758,29.201855,29.358707,3190400
2015-05-29,29.365519,29.420076,28.990435,29.072273,5333000
2015-06-01,29.167751,29.467815,29.004077,29.263226,2780800
2015-06-02,29.092728,29.154105,28.669909,28.840401,2812300
2015-06-03,28.833590,28.888148,27.994770,28.192541,3373600
2015-06-04,28.097065,28.301655,27.837917,27.899294,2952600
2015-06-05,27.796009,27.864864,27.589450,27.823551,4170800
2015-06-08,27.761583,27.864864,27.637648,27.637648,3397100
2015-06-09,27.610106,27.809780,27.555025,27.637648,2624500
2015-06-10,27.796018,28.043890,27.692740,27.706511,3471800
2015-06-11,27.851094,27.981914,27.658303,27.816668,3673100
2015-06-12,27.665192,27.775357,27.314040,27.334698,1877900
2015-06-15,27.320924,27.692731,27.203872,27.548138,2691300
2015-06-16,27.458625,27.692725,27.272721,27.672068,1933200
2015-06-17,27.768486,27.899306,27.548153,27.878651,2746600
2015-06-18,27.844207,28.429460,27.830436,28.353722,3438100
2015-06-19,28.319292,28.518965,28.216012,28.222898,3640500
2015-06-22,28.298641,28.367495,27.968146,28.037001,2506500
2015-06-23,28.195360,28.264213,27.610107,27.658304,2207600
2015-06-24,27.665185,27.754695,27.272722,27.272722,3326800
2015-06-25,27.410439,27.520604,26.873383,26.949121,3999300
2015-06-26,26.921579,27.279616,26.804530,27.258961,4075200
2015-06-29,27.190104,27.678960,26.983542,27.004200,4046800
2015-06-30,27.190097,27.196981,26.928455,27.045504,3943600
2015-07-01,27.086824,27.217644,26.990430,27.162563,2580100
2015-07-02,27.334685,27.678951,27.334685,27.499931,2732300
2015-07-06,27.389776,27.802897,27.348466,27.768471,2647200
2015-07-07,27.940597,28.766833,27.899285,28.670439,3834800
2015-07-08,28.587824,28.794383,28.401920,28.491430,4249300
2015-07-09,28.574044,28.794374,28.222894,28.367485,3297800
2015-07-10,28.353715,28.670439,28.229779,28.408796,3190000
2015-07-13,28.532741,28.532741,27.995687,28.216017,1955300
2015-07-14,28.209137,28.463893,28.057659,28.147169,2457000
2015-07-15,28.154049,28.264214,27.981916,28.264214,2335700
2015-07-16,28.284866,28.863230,28.264209,28.842575,1813100
2015-07-17,28.849453,28.849453,28.436333,28.512072,2521100
2015-07-20,28.491426,28.553394,28.291752,28.463884,2926000
2015-07-21,28.388163,28.450131,27.740944,27.878651,2835100
2015-07-22,27.947494,28.236676,27.885526,28.064543,3166600
2015-07-23,28.043881,28.043881,27.135020,27.376005,3137500
