Date,open,high,low,close,volume
2015-01-02,18.047900,18.342252,18.019041,18.082529,16371571
2015-01-05,18.094077,18.128706,17.897841,17.984415,24786391
2015-01-06,18.047905,18.388430,17.961331,18.134480,29468681
2015-01-07,18.307625,18.394200,18.226822,18.382656,20248816
2015-01-08,18.665467,18.838618,18.596208,18.757814,49169522
2015-01-09,18.746265,18.873241,18.711635,18.844383,26083022
2015-01-12,18.855930,18.977135,18.821301,18.913647,24867865
2015-01-13,18.977131,19.179138,18.538486,18.723179,35989568
2015-01-14,18.590439,18.884793,18.544266,18.746273,32301727
2015-01-15,18.832843,18.913647,18.613522,18.700096,27009593
2015-01-16,18.636608,18.942504,18.619293,18.930962,25146648
2015-01-20,19.029079,19.109882,18.780899,19.104111,44449393
2015-01-21,19.000217,19.334972,18.792439,18.838612,35027793
2015-01-22,18.855924,18.948271,18.498084,18.936728,31389069
2015-01-23,18.971360,18.988674,18.717408,18.728951,27378599
2015-01-26,18.740498,18.959819,18.567349,18.930962,28285566
2015-01-27,18.665464,19.248399,18.642378,18.815527,42732322
2015-01-28,18.798215,19.127199,18.186422,18.440374,33774481
2015-01-29,18.417284,18.446142,18.203733,18.371111,30735905
2015-01-30,18.278770,18.353802,18.007504,18.036362,45396623
2015-02-02,18.146021,18.267225,17.903612,18.267225,24549979
2015-02-03,18.376888,18.561581,18.157566,18.480778,34785267
2015-02-04,18.614689,18.789365,18.469126,18.672915,38671365
2015-02-05,19.237704,19.330864,18.981511,19.208591,62653660
2015-02-06,19.191121,19.458959,19.057202,19.313395,36868498
2015-02-09,19.202770,19.424027,19.127077,19.255173,32236379
2015-02-10,19.493896,19.924764,19.453138,19.884007,62633318
2015-02-11,19.796667,20.093618,19.796667,19.942230,41574608
2015-02-12,19.959702,20.361457,19.930588,20.303232,46014267
2015-02-13,20.204245,20.349810,20.093618,20.169312,24652638
2015-02-17,20.111081,20.285758,20.070323,20.134373,24102029
2015-02-18,20.134376,20.134376,19.936408,20.076149,22794015
2015-02-19,19.988812,20.070328,19.860718,20.035395,28097954
2015-02-20,19.953878,20.134377,19.854893,20.122732,27705022
2015-02-23,19.860719,20.099442,19.831605,20.023748,24383868
2015-02-24,19.924765,19.994637,19.843249,19.994637,20402805
