date,open,high,low,close,volume
2015-01-02,65.845685,65.961664,65.178821,65.555748,7251400
2015-01-05,65.403548,65.961683,65.128100,65.244080,8626100
2015-01-06,65.461522,65.642735,64.700429,64.946877,7791200
2015-01-07,65.193353,65.505041,64.917905,65.287582,5986600
2015-01-08,65.584759,66.128399,65.331056,66.034164,6823300
2015-01-09,66.092136,66.092136,65.323793,65.418022,4872800
2015-01-12,65.584762,65.686242,64.881654,65.178841,5250900
2015-01-13,65.802219,66.324115,65.070115,65.454292,6727100
2015-01-14,65.041095,65.352782,64.823637,65.229553,6418200
2015-01-15,65.591978,65.599228,64.758396,65.135323,6768200
2015-01-16,65.200556,66.208102,65.142572,66.142868,8815700
2015-01-20,66.142878,66.534299,65.599237,66.099388,9869900
2015-01-21,65.992799,66.569507,65.430689,66.233704,6974500
2015-01-22,66.460024,66.934531,65.605915,66.883430,7211200
2015-01-23,66.554923,66.569527,65.664312,65.759216,6745700
2015-01-26,65.664295,65.664295,64.780985,65.394196,9371700
2015-01-27,63.583768,63.664069,62.795357,63.138462,14417400
2015-01-28,63.240662,63.445069,62.058051,62.160252,14033400
2015-01-29,62.620173,62.861077,62.160269,62.539871,12054500
2015-01-30,62.116452,62.211356,61.503247,61.532448,14685300
2015-02-02,61.744119,62.152922,61.087111,62.138325,10278700
2015-02-03,62.744293,62.780796,62.138390,62.744293,10747900
2015-02-04,62.700483,63.131191,62.452283,62.627483,9212800
2015-02-05,62.955964,63.350169,62.853763,63.291767,6531300
2015-02-06,63.189577,63.226080,62.160267,62.496071,8429800
2015-02-09,62.277067,62.364670,61.751460,62.087269,8811500
2015-02-10,62.291666,62.466866,61.919360,62.335464,7059300
2015-02-11,62.744280,62.926782,62.160276,62.517979,7184600
2015-02-12,62.824557,62.890261,62.350056,62.802658,6074600
2015-02-13,62.802678,62.890281,62.415774,62.707779,6272000
2015-02-17,62.824583,62.824583,62.050775,62.408478,10310400
2015-02-18,62.605561,63.065465,62.430355,62.970566,8132300
2015-02-19,62.861080,62.999784,62.087272,62.204071,7271600
2015-02-20,62.014245,62.087251,61.459442,61.955849,9581300
2015-02-23,62.021560,62.415766,61.795259,62.335464,7919200
2015-02-24,62.423073,62.590972,62.058069,62.415771,6502200
2015-02-25,62.561767,62.634772,62.225963,62.386566,5975800
2015-02-26,62.357360,62.605566,61.970456,62.174858,7964500
2015-02-27,62.065359,62.328163,61.736857,62.145660,7685000
2015-03-02,62.145656,62.350063,61.933953,62.350063,7235200
2015-03-03,62.306266,62.371970,61.714961,62.167568,6095600
2015-03-04,62.079941,62.225940,61.474032,61.576233,7370000
2015-03-05,61.773374,61.875575,61.386465,61.780670,5914200
2015-03-06,61.568962,61.590867,60.130849,60.342552,11338700
2015-03-09,60.437426,60.744029,60.357125,60.656425,7326700
2015-03-10,60.203841,60.503142,59.524933,59.524933,9681400
2015-03-11,59.517629,59.700131,58.992022,59.415428,10066600
2015-03-12,59.561444,59.948354,59.503048,59.926449,6951100
2015-03-13,59.846140,60.065139,59.240231,59.736637,7492500
2015-03-16,59.919132,61.284245,59.853428,60.999542,15618300
2015-03-17,60.853534,60.860836,60.174626,60.481228,7509300
2015-03-18,60.488545,61.357257,59.875334,61.138252,12607900
2015-03-19,60.926547,61.138250,60.678347,60.868145,9257500
2015-03-20,61.313455,61.897465,61.152852,61.860962,22580300
2015-03-23,61.590833,62.087239,61.583532,61.948536,9891100
2015-03-24,61.970462,62.131064,61.225855,61.262352,7478800
2015-03-25,61.590850,61.590850,60.488535,60.598038,8482200
2015-03-26,60.284146,60.306045,59.824236,59.970242,7311600
2015-03-27,59.919149,60.254952,59.853445,60.087048,6440600
2015-03-30,60.320641,60.554244,59.970240,60.386345,6416800
2015-03-31,60.415532,60.539632,59.816925,59.816925,8649700
2015-04-01,60.181925,60.189221,59.459213,60.094322,7395300
2015-04-02,59.984852,60.291454,59.802350,60.174656,6169800
2015-04-06,59.802330,60.758645,59.503029,60.619942,6856300
2015-04-07,60.539645,60.802448,60.101640,60.145439,6329900
2015-04-08,60.079748,60.722154,60.057843,60.422848,6523400
2015-04-09,60.320629,60.554232,59.868027,60.510433,6185000
2015-04-10,60.444762,61.050666,60.386360,60.846264,7001700
2015-04-13,60.590740,61.284246,60.546941,60.904644,8290500
2015-04-14,60.875454,61.233157,60.627254,61.028755,6792600
2015-04-15,61.211232,61.466734,60.941132,60.963032,7006400
2015-04-16,60.999552,61.371858,60.846251,60.955753,7615900
2015-04-17,60.590748,60.751351,59.882638,60.247643,9533800
2015-04-20,60.656451,61.306164,60.444753,60.495853,7416000
2015-04-21,60.875444,61.174751,60.517741,60.649143,7696400
2015-04-22,60.751330,60.838928,60.298723,60.656425,6753100
2015-04-23,59.915411,60.415810,59.532755,59.569546,14569500
2015-04-24,59.635782,59.996362,59.532759,59.606346,8785500
2015-04-27,59.540108,59.753508,59.216319,59.311981,9192300
2015-04-28,59.407658,59.473885,59.010282,59.179531,8395500
2015-04-29,58.870454,59.098575,58.664408,58.760071,11858500
2015-04-30,58.833660,58.980839,58.186087,58.509876,9409300
2015-05-01,58.693843,59.105934,58.598175,59.083858,8193000
2015-05-04,59.223697,59.584277,59.091238,59.128029,7203800
2015-05-05,59.238403,59.348786,58.708568,58.921974,6589400
2015-05-06,59.120665,59.297280,58.517243,59.164822,7335700
2015-05-07,59.142743,59.275202,58.870465,59.017639,7224300
2015-05-08,59.525408,59.760890,59.473897,59.576920,6929400
2015-05-11,59.569560,59.598996,59.061806,59.069160,5237800
2015-05-12,58.892547,59.083878,58.399508,58.833675,6305800
