date,open,high,low,close,volume
2015-01-02,19.421928,19.522299,19.199677,19.386082,2849900
2015-01-05,19.257035,19.292881,19.092137,19.171001,3425600
2015-01-06,19.178170,19.228356,18.920071,18.934410,3639400
2015-01-07,19.127983,19.328726,19.056289,19.328726,3606300
2015-01-08,19.479283,19.723043,19.429098,19.715874,2748100
2015-01-09,19.715878,19.715878,19.264206,19.300053,4678600
2015-01-12,19.278543,19.350237,18.963090,19.027615,2820500
2015-01-13,19.192504,19.393247,18.963083,18.998930,3467800
2015-01-14,18.927237,18.955916,18.611783,18.661970,6148900
2015-01-15,18.676314,18.891397,18.676314,18.834042,5020000
2015-01-16,18.690642,18.905725,18.618948,18.905725,4180900
2015-01-20,19.034773,19.084960,18.740827,18.869877,1983400
2015-01-21,18.791016,18.905728,18.661968,18.776678,2762600
2015-01-22,18.920070,19.178169,18.762343,19.135153,2516500
2015-01-23,19.163824,19.192502,18.984589,18.991758,1641300
2015-01-26,18.977423,19.278538,18.891391,19.264200,2921000
2015-01-27,19.092135,19.300049,19.020442,19.135153,2349900
2015-01-28,19.421926,19.608330,19.006100,19.020439,5805800
2015-01-29,19.056290,19.135154,18.783853,19.106476,3264500
2015-01-30,18.905729,18.998931,18.597445,18.604614,4914100
2015-02-02,18.748950,19.050878,18.579576,19.036150,3720300
2015-02-03,19.021424,19.360173,18.962512,19.220255,4049200
2015-02-04,19.146614,19.352809,19.124521,19.220255,3317100
2015-02-05,19.264432,19.441170,19.109787,19.426441,3472500
2015-02-06,19.441170,19.536904,19.286525,19.426441,3772700
2015-02-09,19.308622,19.477997,19.249710,19.396992,2597800
2015-02-10,19.514814,19.551634,19.382261,19.485357,2997400
2015-02-11,19.477998,19.698920,19.470633,19.640007,2686300
2015-02-12,19.669459,19.934566,19.654732,19.919838,3554900
2015-02-13,19.897751,19.993483,19.802017,19.964027,3222300
2015-02-17,19.978752,19.993480,19.662098,19.691553,3355900
2015-02-18,19.669458,19.721008,19.500085,19.698915,3402900
2015-02-19,19.647367,19.698915,19.507449,19.669458,2868200
2015-02-20,19.595823,19.654736,19.286532,19.595823,5153900
