date,open,high,low,close,volume
2015-01-02,31.051014,31.187233,30.871777,31.137047,1971000
2015-01-05,31.058184,31.380811,30.871779,31.115541,3034000
2015-01-06,31.258928,31.502691,31.165727,31.223082,3641400
2015-01-07,31.352135,31.839660,31.215916,31.696270,2574000
2015-01-08,31.839663,31.875510,31.552882,31.703444,2414000
2015-01-09,31.760794,31.897016,31.387981,31.653254,2246800
2015-01-12,31.739286,32.033235,31.674761,31.975878,2328800
2015-01-13,31.932873,32.018906,31.144228,31.337805,3051100
2015-01-14,31.108365,31.359299,30.886113,31.344959,3255900
2015-01-15,31.438168,31.610237,31.201577,31.380814,2422300
2015-01-16,31.380813,31.703440,31.079693,31.653254,3229500
2015-01-20,31.810977,31.882674,31.230251,31.430996,2173300
2015-01-21,31.301943,31.717774,31.208739,31.567213,2881000
2015-01-22,31.796647,32.370208,31.660428,32.348698,4264100
2015-01-23,32.355870,32.642647,32.277005,32.484921,4720800
2015-01-26,32.621124,32.879226,32.413209,32.872055,4010700
2015-01-27,33.022623,34.098045,32.993944,33.789757,7773400
2015-01-28,33.933149,34.033521,33.273555,33.280724,4958800
2015-01-29,33.273560,33.395442,32.843392,33.151680,3201700
2015-01-30,32.943774,33.022639,32.305690,32.363045,4935700
2015-02-02,32.535103,32.556610,31.696272,32.370205,4428200
2015-02-03,32.341538,32.656994,31.832505,32.420403,2705400
2015-02-04,32.334354,32.570949,32.076255,32.384541,2976200
2015-02-05,32.391709,32.843387,32.291337,32.829048,3874400
2015-02-06,32.728674,32.735842,31.839657,32.004555,4204100
2015-02-09,31.997391,32.233982,31.818154,32.033237,3971000
2015-02-10,32.076267,32.248333,31.724961,32.176640,3425600
2015-02-11,32.155107,32.305668,31.517024,31.839651,2112100
2015-02-12,31.954369,32.104928,31.631742,32.097759,1694900
2015-02-13,32.061921,32.097768,31.266108,31.409498,3539900
2015-02-17,31.438177,31.617414,31.158568,31.337805,2801000
2015-02-18,31.352133,31.552878,31.165728,31.517031,2427500
2015-02-19,31.387988,31.387988,30.599346,30.721226,3235400
2015-02-20,30.635194,30.964989,30.577839,30.843109,3098000
2015-02-23,30.943484,31.237432,30.857451,31.158567,2863400
2015-02-24,31.065369,31.101216,30.484640,30.606520,3980700
2015-02-25,30.606509,31.108374,30.606509,30.757071,2886100
2015-02-26,30.807267,30.814436,30.412944,30.420115,4129200
2015-02-27,30.506132,30.699709,30.341235,30.620844,2736200
2015-03-02,30.620850,31.051021,30.592171,30.613682,3509200
2015-03-03,30.498978,30.656705,30.362756,30.577843,2381400
2015-03-04,30.549164,30.628028,30.240876,30.384266,2526700
2015-03-05,30.556328,30.792922,30.498974,30.585007,3883200
2015-03-06,29.846557,30.054470,29.617134,29.681660,3911800
2015-03-09,29.774857,29.875229,29.538265,29.724670,3178800
2015-03-10,29.645802,29.860889,29.502415,29.502415,2379800
2015-03-11,29.688821,30.047295,29.516752,29.911076,3335900
2015-03-12,30.147663,30.563494,30.032951,30.513308,3261000
2015-03-13,30.534811,31.007996,30.305388,30.434439,4341300
2015-03-16,30.745376,31.215377,30.687528,30.947838,3194100
