date,open,high,low,close,volume
2015-01-02,41.993595,42.432050,41.771098,42.412418,337900
2015-01-05,42.301177,43.066837,42.098311,42.890148,762200
2015-01-06,43.053748,43.479117,42.844337,43.197720,771500
2015-01-07,43.727789,44.513082,42.955583,44.316761,911200
2015-01-08,44.388742,44.598153,44.009182,44.159698,724800
2015-01-09,44.153142,44.401817,43.721228,44.068066,554400
2015-01-12,44.094251,44.748662,44.094251,44.729031,533200
2015-01-13,44.866467,45.285290,44.179337,44.486912,978500
2015-01-14,44.316754,45.403074,44.107342,45.239471,849000
2015-01-15,44.172788,44.827200,44.133525,44.539257,1899400
2015-01-16,44.513076,45.429253,44.401827,45.318005,894400
2015-01-20,45.481611,45.632128,44.382199,44.598156,911200
2015-01-21,44.388741,44.683224,44.238224,44.480358,926700
2015-01-22,44.768304,45.488156,44.526170,45.461979,934300
2015-01-23,45.553597,45.671391,44.866462,44.931908,623100
2015-01-26,44.859920,45.776093,44.755212,45.691021,906600
2015-01-27,45.416162,45.756453,45.298367,45.723736,582800
2015-01-28,45.880799,46.332345,45.592857,45.619034,573000
2015-01-29,45.730289,45.802275,45.291835,45.730289,578500
2015-01-30,45.605939,45.704097,44.814102,44.866451,691700
2015-02-02,45.036617,45.036617,43.609999,44.820660,976800
2015-02-03,44.905728,45.527417,44.506536,45.501240,646900
2015-02-04,45.337632,45.592852,44.964617,45.134766,682000
2015-02-05,45.180571,45.514322,45.043145,45.350719,1231100
2015-02-06,45.304921,45.350730,43.845581,44.087715,720500
2015-02-09,44.087712,44.323300,43.675429,43.695061,770900
2015-02-10,43.845582,43.950291,43.178085,43.708157,810800
2015-02-11,43.662351,43.989557,43.178088,43.616543,727300
2015-02-12,43.871765,44.120440,43.223899,43.996105,834400
2015-02-13,43.917563,43.930649,43.079917,43.695061,605200
2015-02-17,43.636160,44.094246,43.315500,43.472557,620400
2015-02-18,43.551106,44.041914,43.138823,44.022278,601100
2015-02-19,44.012383,44.012383,42.911581,43.089558,549800
2015-02-20,42.885209,43.649841,42.885209,43.570740,518500
2015-02-23,43.669613,44.065111,43.531189,44.058517,499500
2015-02-24,43.834414,43.867374,42.951136,43.214798,785100
2015-02-25,43.115924,43.735534,43.096144,43.241161,352200
2015-02-26,43.208203,43.313667,42.469938,42.680870,311600
2015-02-27,42.720430,43.353227,42.595192,43.260944,683700
2015-03-02,43.208203,44.038746,43.148875,43.649841,502500
2015-03-03,43.485058,43.597115,43.089560,43.485058,333700
2015-03-04,43.438903,43.590508,42.891796,43.030220,278500
2015-03-05,43.181849,43.669629,43.181849,43.195030,382900
2015-03-06,42.667694,42.667694,41.777821,41.903061,553700
2015-03-09,42.245817,42.522669,42.061254,42.120579,583800
2015-03-10,42.041479,42.397428,41.903055,42.113987,599100
2015-03-11,42.232628,42.469927,41.975554,42.371052,453700
2015-03-12,42.516079,42.970904,42.311740,42.931351,544400
2015-03-13,42.885217,43.135703,42.516087,43.063194,422100
2015-03-16,43.195023,43.854187,43.109333,43.742130,471700
2015-03-17,43.722354,43.959653,43.392772,43.814636,622300
2015-03-18,43.834428,44.915457,43.471886,44.869316,840100
2015-03-19,44.572667,44.902249,44.355142,44.645176,611200
2015-03-20,44.809983,46.095351,44.717695,46.075577,1574100
2015-03-23,46.075565,46.246949,45.680068,45.884407,884600
2015-03-24,45.666880,45.877812,45.231834,45.231834,764100
2015-03-25,45.205462,45.422987,44.269450,44.447422,770800
