date,open,high,low,close,volume
2015-01-02,42.568882,42.714748,41.685574,42.204212,183002
2015-01-05,41.742302,41.944897,40.486225,40.615883,349592
2015-01-06,40.518639,41.037277,40.226906,40.470016,593924
2015-01-07,40.721233,40.875202,39.667747,40.000000,173871
2015-01-08,40.413288,41.693680,40.332253,41.596436,296530
2015-01-09,41.628849,42.544571,41.312805,41.969208,278390
2015-01-12,41.855755,42.228523,41.280388,41.645058,174488
2015-01-13,41.823338,42.609402,41.645058,41.880066,136974
2015-01-14,41.393841,41.839546,40.956242,41.604538,125004
2015-01-15,41.685574,41.799026,40.672607,41.004864,153139
2015-01-16,40.891411,41.442463,40.559158,41.361427,145982
2015-01-20,41.385738,41.928688,41.280388,41.491085,152646
2015-01-21,41.393841,41.904377,41.385738,41.799026,126238
2015-01-22,41.904377,42.844406,41.855755,42.568882,202623
2015-01-23,42.544571,42.828201,42.350082,42.439220,203980
2015-01-26,42.325771,42.860615,42.001621,42.828201,148574
2015-01-27,42.212318,42.884926,42.009724,42.544571,137838
2015-01-28,42.795788,43.030792,42.317665,42.366287,161777
2015-01-29,42.463531,42.949757,42.017830,42.901134,167947
2015-01-30,42.617504,43.006481,42.147488,42.277145,219282
2015-02-02,42.463531,42.755268,41.645058,42.252834,166220
2015-02-03,42.447327,43.282009,42.309563,43.249596,119945
2015-02-04,43.192867,43.314426,42.722855,42.828201,233596
2015-02-05,42.884926,43.549435,42.722855,43.508915,165726
2015-02-06,43.525124,43.533226,42.949757,43.282009,96499
2015-02-09,43.176662,43.476498,42.909237,43.419773,63798
2015-02-10,43.638573,43.638573,43.200974,43.525124,127472
2015-02-11,43.468395,43.711506,43.419773,43.557537,67623
2015-02-12,43.598057,44.529984,43.598057,44.157211,151535
2015-02-13,44.327393,44.959480,44.173420,44.635330,224094
2015-02-17,44.635330,44.692059,43.792545,44.554295,91439
2015-02-18,44.538090,44.854134,44.157211,44.764992,190283
2015-02-19,44.740681,44.902756,43.452187,44.059967,217184
2015-02-20,45.380875,45.380875,44.068069,44.821716,223107
2015-02-23,44.870338,44.870338,44.278767,44.489464,225328
2015-02-24,44.408428,44.740681,43.987034,44.189629,258893
2015-02-25,44.100487,44.521881,43.784443,43.987034,88108
2015-02-26,43.833061,44.019447,43.565639,43.719612,95882
2015-02-27,43.557537,44.084278,43.128040,44.043758,225699
2015-03-02,43.922203,44.408428,43.760132,44.335495,146229
2015-03-03,44.270664,44.967587,44.092381,44.554295,208546
2015-03-04,44.619125,44.748783,43.192867,43.298218,122289
2015-03-05,43.411671,43.427876,42.998379,43.395462,82925
2015-03-06,43.233387,43.573746,43.111832,43.492706,116613
2015-03-09,43.525124,43.557537,42.868721,42.917343,77002
2015-03-10,42.487843,42.487843,41.118313,41.118313,214963
2015-03-11,41.118313,41.912479,40.559158,41.904377,243592
2015-03-12,42.163696,42.309563,41.474876,42.212318,104150
2015-03-13,42.212318,42.212318,41.207455,41.450565,81444
2015-03-16,41.474876,41.888168,41.377632,41.726093,84899
2015-03-17,41.555916,41.555916,40.980553,41.320908,238409
