date,open,high,low,close,volume
2015-01-02,83.175614,83.834344,81.796673,82.552017,1523700
2015-01-05,79.767792,82.306097,79.767792,81.278481,1825500
2015-01-06,81.436557,82.077716,80.426503,81.164284,1855000
2015-01-07,81.744012,82.982428,81.638613,82.701370,1145300
2015-01-08,83.465431,84.317389,83.465431,84.106598,1368800
2015-01-09,83.834366,84.132994,82.947281,83.087807,760700
2015-01-12,83.351252,83.351252,82.437813,82.578339,772000
2015-01-13,83.140524,83.869513,81.972374,82.754066,1124500
2015-01-14,81.928425,82.016254,80.523136,81.902077,1986100
2015-01-15,82.174361,82.174361,80.312355,80.365051,1490600
2015-01-16,79.996172,81.287284,79.741462,81.199448,1435500
2015-01-20,81.726418,81.875729,79.662393,80.514351,1894300
2015-01-21,80.233295,81.181868,80.040067,80.900810,1156600
2015-01-22,81.199430,82.007477,80.584618,82.007477,1277400
2015-01-23,81.893293,82.306098,81.331177,81.419006,960700
2015-01-26,81.173078,81.401439,80.610962,81.287262,1082400
2015-01-27,80.567057,81.664940,80.224512,81.094040,1510800
2015-01-28,81.787897,83.483029,81.243345,81.462921,1944100
2015-01-29,81.322412,82.314903,80.321143,82.279770,1300800
2015-01-30,81.339966,81.814253,79.873196,79.969810,1303000
2015-02-02,80.233290,80.602177,78.898267,80.593399,1248600
2015-02-03,80.935942,81.498058,80.277212,81.454140,1045800
2015-02-04,81.735208,82.130450,81.023782,81.217010,1557700
2015-02-05,81.761539,82.499319,81.603450,82.270958,1259900
2015-02-06,82.209480,82.552019,81.173078,81.427788,1182300
2015-02-09,80.865688,81.603469,80.329920,80.716377,793800
2015-02-10,81.243365,81.840613,80.927174,81.735214,662100
2015-02-11,81.612236,82.139219,81.111602,81.647369,838600
2015-02-12,82.077736,82.297313,81.585887,82.007477,967100
2015-02-13,81.902083,83.043884,81.752772,83.008751,1174900
2015-02-17,83.307374,83.614780,82.490549,83.500603,1340500
2015-02-18,83.535721,83.711380,82.956036,83.658684,1008200
2015-02-19,83.526952,83.781662,82.833089,83.052666,839100
2015-02-20,82.525668,83.728950,82.341224,83.658684,1115700
2015-02-23,83.658674,84.141745,83.483015,83.966080,875900
2015-02-24,83.781663,84.053936,83.140503,83.333725,1093800
2015-02-25,83.158046,83.360060,82.806722,83.061432,990400
2015-02-26,83.096568,83.316145,82.578364,82.912125,998100
2015-02-27,82.956041,83.658689,82.868212,83.219536,1340000
2015-03-02,83.219549,84.475528,83.219549,84.326218,1081400
2015-03-03,84.062718,84.168117,81.014993,81.190659,2993000
2015-03-04,81.111611,81.708860,80.408970,81.129181,1587800
2015-03-05,81.111621,81.796699,81.102836,81.673737,1543500
2015-03-06,81.243331,81.243331,78.880685,79.109047,2129900
2015-03-09,79.372557,80.057635,79.363772,79.943451,1021800
2015-03-10,79.152985,79.802930,78.907054,79.311081,1538900
2015-03-11,79.363785,79.890768,79.152993,79.451614,1106900
2015-03-12,79.530646,80.839320,79.451595,80.760269,892100
2015-03-13,80.654882,81.155516,79.671176,80.180595,1254400
2015-03-16,80.663663,81.717635,80.663663,81.489273,1177100
2015-03-17,80.883239,81.190652,80.531922,80.707581,1036200
2015-03-18,80.426536,82.411511,80.189396,81.779129,1382200
2015-03-19,81.700080,82.350032,81.541984,82.183151,945500
2015-03-20,82.595949,82.912140,82.068967,82.253410,2101900
2015-03-23,82.112893,82.718927,81.814272,82.306122,918800
2015-03-24,82.183101,82.850615,81.998657,82.051353,961100
2015-03-25,82.139228,82.771609,80.988648,81.058914,1190200
2015-03-26,80.716379,81.006222,80.180611,80.391403,1049700
2015-03-27,80.457538,81.753535,80.457538,81.603653,1229700
2015-03-30,82.097362,82.749766,81.824052,82.476463,1016600
2015-03-31,81.876950,82.502907,81.330338,81.330338,1199500
2015-04-01,81.515478,81.621276,79.902094,80.386993,2005600
2015-04-02,79.540638,80.995329,79.514190,80.334106,1042300
2015-04-06,79.743376,81.268598,79.664033,80.898315,1152600
2015-04-07,81.057007,81.453738,80.633822,80.651459,1038900
2015-04-08,80.827797,81.409669,80.589760,81.127548,1093100
2015-04-09,80.924784,82.088534,80.766090,82.053268,1379900
2015-04-10,81.921008,82.926065,81.921008,82.643944,1101700
2015-04-13,82.308953,82.846747,81.947481,82.079727,1334900
2015-04-14,81.903409,82.238426,81.021779,81.586021,1478100
2015-04-15,81.621289,81.965124,81.198104,81.365616,752100
2015-04-16,81.242176,81.453765,80.915970,81.268623,877000
2015-04-17,80.704372,81.806409,80.378167,81.550735,2041600
2015-04-20,81.991526,82.467606,81.753489,82.300095,1345300
2015-04-21,82.873182,83.587299,82.635145,83.499138,1959400
2015-04-22,83.754797,85.782548,83.754797,85.033157,2463600
2015-04-23,85.033158,85.888339,84.812750,85.676750,1620100
2015-04-24,85.315293,85.659134,85.050808,85.429909,1284500
2015-04-27,85.906011,85.906011,83.314018,83.428627,1840500
2015-04-28,83.419763,84.116251,82.476420,83.842941,1619100
2015-04-29,83.710713,83.710713,82.150232,83.155289,1260000
2015-04-30,82.520512,82.864347,80.915946,81.321495,1923500
2015-05-01,81.824028,82.388270,81.533095,82.344193,1275700
2015-05-04,82.564595,83.005410,82.397084,82.546959,1044600
2015-05-05,82.176692,82.476450,81.524288,81.903389,1028700
2015-05-06,82.317778,82.405939,81.224552,81.603653,984900
2015-05-07,81.436116,82.238395,81.436116,81.647705,801500
2015-05-08,82.670424,83.578509,82.423569,83.366913,1258400
2015-05-11,83.393307,83.648981,83.049473,83.190536,741500
2015-05-12,82.855548,82.996606,82.026814,82.062080,1098300
2015-05-13,82.123851,82.705724,81.735932,81.912262,821400
2015-05-14,82.573441,84.054572,82.291313,83.984047,1319700
2015-05-15,83.957605,84.354336,83.754827,84.204460,1260900
2015-05-18,84.363140,85.421093,84.222076,85.156601,995700
2015-05-19,85.059631,85.482810,84.777510,85.235954,1025800
2015-05-20,85.227140,86.020608,85.227140,85.324120,983800
2015-05-21,85.209482,85.376987,84.751031,84.989075,744300
2015-05-22,84.803938,85.262382,84.451285,85.024345,1267900
2015-05-26,84.962672,84.962672,84.019328,84.222099,1164400
2015-05-27,84.636443,85.332931,84.239712,85.156601,889500
2015-05-28,85.042013,85.465198,84.486588,84.848053,862600
2015-05-29,84.768704,85.623886,84.398422,84.751068,1330000
2015-06-01,85.227141,85.377016,84.142740,84.742249,831400
2015-06-02,84.416004,85.200653,83.878209,84.733391,776900
2015-06-03,85.033187,85.033187,84.292621,84.671722,605000
2015-06-04,84.433655,84.609985,83.516767,83.790070,968000
2015-06-05,83.790065,84.089815,83.305166,83.931122,783000
2015-06-08,83.719528,84.160342,83.402141,83.419777,610600
2015-06-09,83.287516,83.525553,82.829066,83.014214,757100
2015-06-10,83.313979,84.733402,83.014228,84.645241,1194400
2015-06-11,84.742251,85.385837,84.521843,85.112534,798500
2015-06-12,84.733462,85.068479,84.222115,84.345543,629200
2015-06-15,83.798875,83.904667,82.785000,83.463852,1187600
2015-06-16,83.375717,84.028121,83.199393,83.895882,719900
2015-06-17,84.054530,84.195594,83.375679,83.842941,686100
2015-06-18,84.116266,85.808993,84.081000,85.650299,1081600
2015-06-19,85.570978,85.782574,85.262409,85.412285,1135400
2015-06-22,85.958897,86.311550,85.720860,85.870735,604700
2015-06-23,85.782591,86.108790,85.059655,85.183083,957900
