date,open,high,low,close,volume
2015-01-02,29.309130,29.514057,28.822424,29.014544,5289400
2015-01-05,28.792534,29.006002,28.617489,28.690067,6354200
2015-01-06,28.818147,29.168234,28.305826,28.549179,6146200
2015-01-07,28.647369,29.193846,28.617484,29.134075,6152600
2015-01-08,29.245088,29.454285,29.151162,29.287781,8306200
2015-01-09,29.368892,29.368892,28.596140,28.924879,8004000
2015-01-12,28.988919,29.129809,28.771181,28.775452,7212600
2015-01-13,29.018800,29.223727,28.570516,28.672983,8837600
2015-01-14,28.156395,28.450982,28.002698,28.275940,7310200
2015-01-15,28.433907,28.621759,27.861815,27.870352,7403800
2015-01-16,27.887430,28.549181,27.793503,28.497948,6533000
2015-01-20,28.660177,28.685795,28.049659,28.271667,5662800
2015-01-21,28.211904,28.527835,28.100899,28.182018,6088400
2015-01-22,28.378393,28.920600,28.182003,28.818136,5114000
2015-01-23,28.865120,29.010277,28.694345,28.873657,4291800
2015-01-26,28.754105,29.138348,28.715683,29.091385,5423200
2015-01-27,28.877915,29.317658,28.779721,29.138346,5990600
2015-01-28,29.360359,29.612253,28.694340,28.719955,6187400
2015-01-29,28.702872,28.886455,28.382671,28.865107,5677200
2015-01-30,28.621753,28.754102,28.126506,28.152124,6132400
2015-02-02,28.139316,28.254587,27.447679,28.122238,6823800
2015-02-03,28.220433,28.775450,28.211896,28.732758,5001000
2015-02-04,28.775456,29.117002,28.604681,28.976116,7275000
2015-02-05,29.151158,29.309125,29.001731,29.219469,5529600
2015-02-06,29.257887,29.411584,29.018804,29.138346,4457600
2015-02-09,29.027334,29.082837,28.775443,28.818136,3886800
2015-02-10,29.154151,29.282566,29.068543,29.231199,6110600
2015-02-11,29.226933,29.372470,29.145603,29.261177,5019800
2015-02-12,29.389586,29.496597,29.128478,29.483753,6490400
2015-02-13,29.470922,29.642141,29.346788,29.637859,5436400
2015-02-17,29.710621,29.710621,29.282576,29.359621,6017800
2015-02-18,29.269734,29.325382,28.948700,28.965822,6956000
2015-02-19,28.991505,29.137039,28.961542,29.030027,4491000
2015-02-20,29.017188,29.453793,28.952981,29.419552,5310400
2015-02-23,29.500876,29.565083,29.179842,29.278294,6118800
2015-02-24,29.329653,29.535116,28.713270,28.747515,12497000
2015-02-25,28.336591,29.907519,28.041242,29.697775,18382800
2015-02-26,29.351064,29.526564,29.072834,29.137041,10851000
2015-02-27,29.226925,29.599325,29.188402,29.381021,7853600
2015-03-02,29.432393,29.817635,29.376746,29.736305,8809200
2015-03-03,29.590765,29.620728,29.098516,29.368183,5903000
2015-03-04,29.312529,29.432381,28.995773,29.231199,4882800
2015-03-05,29.244049,29.496598,29.244049,29.415268,4970400
2015-03-06,29.235493,29.522282,29.081396,29.119919,4393400
2015-03-09,29.162725,29.333944,29.047154,29.205532,3593800
2015-03-10,29.094231,29.205523,28.893049,28.940134,4727600
2015-03-11,28.910172,29.098513,28.691868,28.743235,5171800
2015-03-12,28.901618,29.428115,28.901618,29.402433,5225000
2015-03-13,29.381029,29.381029,28.880216,29.102798,5317600
2015-03-16,29.132756,29.505156,29.132756,29.389585,5434400
2015-03-17,29.218376,29.458081,29.137047,29.239777,5781200
2015-03-18,29.235498,29.239777,28.559186,29.085680,7050400
2015-03-19,29.137042,29.218372,28.987227,29.175568,5653200
2015-03-20,29.239771,29.753427,29.222649,29.736305,11652200
2015-03-23,29.663537,30.074460,29.573645,29.740585,9092000
2015-03-24,29.637850,30.108699,29.547961,29.997410,9192600
2015-03-25,29.963166,30.027374,29.710621,29.766266,10544800
2015-03-26,29.612167,29.646411,29.278292,29.543678,8842400
2015-03-27,29.483753,29.796227,29.436667,29.787664,6045400
2015-03-30,29.963163,30.404049,29.796226,30.164345,7148800
2015-03-31,30.117255,30.386922,29.967440,29.984562,6420600
2015-04-01,30.001701,30.010263,29.432403,29.513729,6497200
2015-04-02,29.646409,29.830468,29.496594,29.672091,3458600
2015-04-06,29.500871,29.916075,29.428104,29.663530,3171800
2015-04-07,29.620732,29.761988,29.346783,29.385309,3271800
