date,open,high,low,close,volume
2015-01-02,122.039964,124.156099,121.904687,123.798569,2034700
2015-01-05,123.015885,124.784161,121.895015,122.097931,2430300
2015-01-06,122.097925,123.866201,120.339313,120.957726,2519300
2015-01-07,122.291182,124.619897,121.692099,124.581238,2098300
2015-01-08,125.093376,126.639400,125.093376,125.876053,2515800
2015-01-09,126.349509,126.697367,124.967749,125.373581,1912400
2015-01-12,125.721437,126.214229,123.972490,124.165741,1810400
2015-01-13,125.189998,125.914701,122.822638,124.011147,2090800
2015-01-14,122.668032,123.073871,120.870768,121.943329,2851500
2015-01-15,122.039958,122.281526,119.923824,119.943146,2722700
2015-01-16,119.537317,121.276607,119.131485,121.064026,2034100
2015-01-20,121.750069,122.233204,119.904489,121.015701,2270100
2015-01-21,120.803125,122.097931,120.658190,121.131660,1366700
2015-01-22,122.088262,123.267113,121.150978,122.716339,2953800
2015-01-23,122.494096,122.783980,120.551898,120.658188,1993800
2015-01-26,120.358648,121.527834,119.112158,121.402222,2032800
2015-01-27,119.972131,121.605122,119.933479,120.667839,1894300
2015-01-28,121.460209,121.634138,119.817552,120.146080,2401800
2015-01-29,119.199109,124.387976,117.440498,123.643951,4903000
2015-01-30,122.532772,123.315456,120.793489,120.986740,3513100
2015-02-02,121.257244,121.663083,119.044484,121.643753,1835600
2015-02-03,122.165572,123.170495,121.150985,123.035217,1797000
2015-02-04,122.571423,123.711622,121.779081,122.088287,1531100
2015-02-05,122.484450,123.189824,121.624470,122.755005,1472800
2015-02-06,122.716353,122.948256,120.126748,120.590561,1573400
2015-02-09,119.682231,120.542211,118.783599,119.237747,1357200
2015-02-10,119.894851,120.938425,119.460025,120.812805,1232300
2015-02-11,121.044702,121.933676,120.648535,121.189644,1313700
2015-02-12,122.484417,122.793623,121.363540,122.552055,1370700
2015-02-13,122.532744,123.402389,121.421539,123.305763,1543600
2015-02-17,122.735674,123.846886,121.933675,123.711609,1381400
2015-02-18,123.682632,124.513626,122.571420,123.682632,1402100
2015-02-19,123.402402,123.788912,122.803312,123.479706,1266300
2015-02-20,123.112488,126.793975,122.861256,126.745659,2170700
2015-02-23,126.581410,126.909938,126.049958,126.562080,2086200
2015-02-24,126.407529,127.509077,125.876077,127.402786,1385700
