date,open,high,low,close,volume
2015-01-02,30.9023,31.0713,30.5412,30.7025,483811
2015-01-05,30.6257,30.6487,29.7421,29.7729,961074
2015-01-06,29.6576,29.7575,29.4809,29.6422,1031373
2015-01-07,29.842,30.0033,29.5577,29.6653,987364
2015-01-08,29.7421,30.0879,29.6653,30.0571,607653
2015-01-09,29.9957,30.2339,29.6807,29.8266,502782
2015-01-12,29.7421,29.9419,29.4271,29.7114,553340
2015-01-13,29.9496,30.3798,29.7037,30.011,792838
2015-01-14,29.8727,29.988,29.4425,29.7959,872382
2015-01-15,29.9957,30.0955,29.4886,29.9419,643862
2015-01-16,29.7575,30.6564,29.7114,30.6334,941910
2015-01-20,30.5873,30.6718,30.1954,30.3952,1057181
2015-01-21,30.0725,30.2876,29.7037,29.8727,973015
2015-01-22,29.8958,30.6872,29.8574,30.595,920050
2015-01-23,30.5642,30.8024,30.3414,30.5335,875560
2015-01-26,30.5565,30.7794,30.4259,30.7025,865641
2015-01-27,30.5642,30.6949,30.3337,30.4567,890679
2015-01-28,30.5642,30.6641,30.0725,30.1186,653973
2015-01-29,30.1416,30.303,29.4732,29.7575,804490
2015-01-30,29.3964,29.8189,29.212,29.5039,988327
2015-02-02,29.9035,30.0034,29.4502,29.988,799001
2015-02-03,30.0802,30.4567,29.9188,30.3414,618631
2015-02-04,30.1263,30.7256,30.1186,30.6027,752681
2015-02-05,30.7333,30.8639,30.5873,30.7717,762503
2015-02-06,30.8408,31.0175,30.4106,30.5873,914369
2015-02-09,30.6334,30.8485,30.4643,30.5412,703086
2015-02-10,30.618,30.6718,30.2339,30.4183,910709
2015-02-11,30.134,30.1877,29.1505,29.6499,1915311
2015-02-12,29.7421,30.0956,29.5424,29.9188,1931778
2015-02-13,29.9419,30.2799,29.8036,30.134,1586928
2015-02-17,30.2108,30.7102,30.1493,30.5565,1101672
2015-02-18,30.4029,30.5181,30.1724,30.3952,1078079
2015-02-19,30.2209,30.4688,30.1046,30.2519,841373
2015-02-20,30.1821,30.5385,30.1821,30.4533,755666
2015-02-23,30.4146,30.8253,30.2828,30.802,795823
