date,open,high,low,close,volume
2015-01-02,60.425088,61.808525,60.233956,60.962082,978500
2015-01-05,60.334079,60.425093,58.996152,59.278297,897200
2015-01-06,59.178181,60.188452,58.504669,59.141781,686300
2015-01-07,59.433036,60.370493,59.214594,60.261272,532400
2015-01-08,60.852885,62.472958,60.807375,62.145302,1380500
2015-01-09,62.254506,62.418334,61.535484,62.154388,845700
2015-01-12,61.963257,62.290912,61.235131,62.117981,1132900
2015-01-13,62.818789,62.882499,60.361377,61.307938,972500
2015-01-14,60.388681,61.790318,59.496734,61.653793,808600
2015-01-15,62.017856,62.145277,60.015521,60.270363,1019000
2015-01-16,60.306775,61.289735,60.224857,60.880169,1486800
2015-01-20,61.153215,61.398953,60.179351,60.971180,1023500
2015-01-21,60.716351,61.926857,60.388695,61.872250,857100
2015-01-22,62.573073,63.710765,61.662919,63.637951,1791600
2015-01-23,63.592430,64.047507,62.964422,63.474106,1107400
2015-01-26,63.556027,64.229539,62.846109,64.184029,826900
2015-01-27,63.173779,64.102133,62.746006,63.920105,1172900
2015-01-28,64.548092,64.575396,63.701649,63.738056,1372600
2015-01-29,63.701653,65.130594,63.282983,64.930359,1328700
2015-01-30,64.329644,65.303507,63.574215,64.174919,1148200
2015-02-02,64.775602,65.430913,63.801738,65.021347,1308200
2015-02-03,65.531061,65.531061,64.793839,65.367233,1256400
2015-02-04,64.848441,66.368395,64.693716,65.048676,1541600
2015-02-05,66.777961,68.589164,66.541319,67.360458,2129900
2015-02-06,67.833736,70.072713,67.624405,68.470848,2654900
2015-02-09,68.452632,69.908875,68.407128,69.326378,1603000
2015-02-10,69.999930,71.128519,69.918013,70.773560,1778100
2015-02-11,70.555090,72.184265,70.527786,70.991966,1740100
2015-02-12,71.428864,72.703073,71.228629,72.275307,1256100
2015-02-13,72.502831,72.803176,71.902126,72.693962,1095800
2015-02-17,72.721265,73.622315,72.511927,73.503998,910600
2015-02-18,73.394782,73.904466,73.112636,73.786148,575800
2015-02-19,73.704234,74.851022,73.431185,73.959076,850100
2015-02-20,73.949985,74.095613,72.739479,73.704247,998600
2015-02-23,73.731534,73.895362,72.703056,73.012512,1051900
2015-02-24,73.149044,73.813452,72.875995,73.476700,966600
2015-02-25,73.613369,75.262787,73.385548,75.071419,1801600
2015-02-26,75.636434,76.082960,74.934750,75.080551,1291900
2015-02-27,75.080554,75.809582,74.916523,75.636436,852700
2015-03-02,76.110320,77.039832,75.417750,77.003380,1185900
2015-03-03,76.638840,77.276742,76.046505,77.249397,1344700
2015-03-04,76.802842,77.449851,76.547684,77.094452,1835400
2015-03-05,77.222043,77.787040,76.957770,77.431641,1161200
2015-03-06,77.021588,78.188035,76.857557,77.231186,1669400
2015-03-09,77.522801,77.522801,76.657085,76.866676,1791900
2015-03-10,76.210525,76.347219,75.098767,75.116989,1082300
2015-03-11,75.253698,76.028287,74.971196,75.855141,887100
2015-03-12,76.301665,77.732378,76.210531,77.550117,1141600
2015-03-13,77.386095,77.413432,76.411023,77.103600,914100
2015-03-16,77.112716,77.787063,77.112716,77.559242,716800
2015-03-17,77.058024,78.005759,77.021572,77.550117,727400
2015-03-18,77.112706,78.598094,76.547709,78.160675,761600
2015-03-19,77.978440,78.260935,76.511275,76.729980,930100
2015-03-20,77.112723,77.686828,76.556840,76.593292,1257900
2015-03-23,76.593257,77.677677,76.493015,76.830185,1084300
2015-03-24,76.985128,77.923748,76.729963,77.586571,1431800
2015-03-25,77.896433,78.388520,76.493057,76.493057,1116900
2015-03-26,76.055593,76.839296,75.654627,76.556801,738400
2015-03-27,76.356360,77.121833,76.356360,76.702644,565500
2015-03-30,77.076263,78.042220,77.003359,77.814400,601400
2015-03-31,77.458978,77.887281,76.821083,76.821083,847400
2015-04-01,76.875763,76.966890,76.055608,76.748184,1149700
2015-04-02,76.547690,77.468087,76.237857,76.830185,870800
2015-04-06,76.602384,77.504559,76.593276,76.976013,601600
2015-04-07,77.003349,77.294959,75.745782,75.846024,1109500
2015-04-08,75.609089,75.846024,74.479101,75.818680,1469700
2015-04-09,75.481490,76.192289,75.007619,75.445038,767300
2015-04-10,75.718430,76.237868,75.217229,75.946251,785700
2015-04-13,75.636450,76.155881,74.825410,75.663788,855400
2015-04-14,76.784655,76.884897,75.199019,75.864258,1092200
2015-04-15,76.092062,77.222050,75.782230,76.374557,829800
2015-04-16,76.274323,76.310775,75.053208,75.408607,1148200
2015-04-17,74.743358,75.271904,74.078126,74.661346,999500
2015-04-20,74.962090,75.153458,74.296851,74.515556,651800
2015-04-21,74.624926,74.852747,73.996139,74.151062,625600
2015-04-22,74.233043,74.415304,73.431117,73.731842,806200
2015-04-23,73.704515,75.271922,73.504039,75.025879,1050900
2015-04-24,75.135231,76.082966,74.834513,76.064743,1106000
2015-04-27,76.511278,76.575067,75.563543,75.745804,689400
2015-04-28,75.435934,75.763996,74.561104,75.718430,867600
2015-04-29,75.116983,75.982698,74.524648,75.700203,724000
2015-04-30,75.709337,78.579878,75.709337,77.932861,1937500
2015-05-01,78.479658,80.712297,78.087806,80.493591,1859600
2015-05-04,80.411553,81.623560,80.165509,80.283974,1862100
2015-05-05,77.951079,79.755414,77.203828,77.914627,1773400
2015-05-06,78.807698,80.192845,77.604806,79.600510,997300
2015-05-07,79.235996,81.951620,79.135754,81.559769,1422100
2015-05-08,82.015414,83.017823,81.714689,82.443718,947100
2015-05-11,82.133880,83.646613,81.997194,83.190971,977800
2015-05-12,82.607728,83.099821,82.152087,82.224991,1042500
2015-05-13,82.534848,83.409678,82.124773,82.808235,1094900
