date,open,high,low,close,volume
2015-01-02,40.970364,41.394057,40.930394,41.370075,3140700
2015-01-05,41.114280,41.266169,40.874454,40.954395,3859100
2015-01-06,40.986370,41.282155,40.658607,40.986370,3010900
2015-01-07,41.106283,41.266168,40.810497,41.018349,2243200
2015-01-08,41.282158,41.521984,41.202217,41.490009,2941700
2015-01-09,41.426047,41.482006,41.066306,41.194214,1664000
2015-01-12,41.250182,41.322130,40.962393,41.146259,1315800
2015-01-13,41.314134,41.657885,40.826486,41.178230,1780500
2015-01-14,40.970387,41.474023,40.850472,41.418064,1623800
2015-01-15,41.410059,41.681863,41.378082,41.426048,1351700
2015-01-16,41.394062,41.793773,41.218192,41.761799,1311200
2015-01-20,42.001624,42.329387,41.825750,42.297409,2422900
2015-01-21,42.145533,42.417337,42.017626,42.153526,2409100
2015-01-22,42.353393,42.521271,41.937693,42.193508,2857900
2015-01-23,42.137536,42.417336,42.065588,42.369370,2395800
2015-01-26,42.329402,42.649169,42.097569,42.537251,1599900
2015-01-27,42.337396,42.649171,42.281437,42.481293,2292800
2015-01-28,42.513274,42.761096,42.041614,42.081585,1752400
2015-01-29,42.017624,42.081576,41.577940,42.009628,1447200
2015-01-30,41.753818,41.809777,41.082303,41.114281,3119500
2015-02-02,41.138268,41.234201,40.626638,41.218212,4397300
2015-02-03,41.114266,41.761799,41.074296,41.761799,2220500
2015-02-04,41.729838,42.041612,41.577946,41.745827,1773800
2015-02-05,41.745821,42.065588,41.737825,42.049599,1087000
2015-02-06,42.017629,42.217484,41.729836,41.921696,1387600
2015-02-09,41.729826,42.177500,41.729826,41.993633,1630000
2015-02-10,42.161521,42.337392,41.985647,42.129543,1554200
2015-02-11,42.185506,42.353384,41.905706,42.017628,1605400
2015-02-12,42.041606,42.345388,41.929688,42.129543,1692400
2015-02-13,41.250173,41.290146,40.506710,41.002354,4966300
2015-02-17,41.729830,43.560507,41.729830,43.120823,5272300
2015-02-18,43.232747,43.784347,42.960943,43.672428,2558900
2015-02-19,43.568509,43.664438,43.048883,43.480572,1962000
2015-02-20,43.552526,43.744389,43.312700,43.576508,2262400
2015-02-23,43.576500,43.808333,43.456588,43.624466,1443000
2015-02-24,43.488551,43.752358,43.448577,43.544510,1605500
2015-02-25,43.664428,43.840302,43.520532,43.592480,1683200
2015-02-26,43.664435,43.696413,43.192776,43.392632,1759300
2015-02-27,43.416594,43.712379,43.264702,43.552494,1702600
2015-03-02,43.552519,43.888278,43.552519,43.848305,2004200
2015-03-03,43.728392,44.184062,43.696414,44.112114,3237500
2015-03-04,43.968218,44.096126,43.864293,44.024178,3352100
2015-03-05,44.052356,44.148961,43.657880,43.875244,2054400
2015-03-06,43.601527,43.714233,43.182900,43.190952,2521200
2015-03-09,43.158749,43.343910,43.134599,43.207050,2991300
2015-03-10,42.925282,43.094341,42.595211,42.595211,2854000
2015-03-11,42.611316,42.724022,42.402001,42.418102,2797500
2015-03-12,42.442248,42.820620,42.434196,42.740116,1974600
2015-03-13,42.812571,42.989683,42.538854,42.925278,1908300
2015-03-16,43.070192,43.875243,43.062143,43.794739,2280100
2015-03-17,43.802785,44.004048,43.730331,43.851089,1507800
2015-03-18,43.690082,44.438779,43.512970,44.334122,2049000
2015-03-19,44.374367,44.527329,44.060398,44.060398,1704900
2015-03-20,44.108703,44.157004,43.778632,43.915489,5120300
2015-03-23,44.052345,44.382415,43.851082,44.213352,2467700
2015-03-24,44.213358,44.245561,43.931592,43.963795,1879200
2015-03-25,43.995991,44.036243,43.343899,43.360001,1508600
2015-03-26,43.182895,43.239249,42.973584,42.989685,1376100
2015-03-27,42.973584,43.231200,42.973584,42.989685,1590900
2015-03-30,43.118492,43.657875,43.094339,43.480762,1586000
2015-03-31,43.376116,43.794743,43.327812,43.657883,2337300
2015-04-01,43.673981,43.778639,43.126547,43.190952,2059100
2015-04-02,43.223157,43.472723,43.199006,43.392220,1401500
2015-04-06,43.384156,44.060398,43.271450,43.915489,3344000
2015-04-07,43.851087,44.189207,43.754479,44.068451,2023100
2015-04-08,44.084550,44.350218,43.939644,43.963795,3859900
2015-04-09,44.012099,44.382424,43.810836,44.253616,4105400
2015-04-10,44.414615,45.026455,44.269709,44.390465,4470900
2015-04-13,44.277760,44.406568,44.068449,44.148952,2603200
2015-04-14,44.060397,44.084547,43.593469,43.665924,1967500
2015-04-15,43.770586,43.987950,43.649830,43.673981,1233700
2015-04-16,43.521022,43.593476,43.174850,43.464668,2056300
2015-04-17,43.158743,43.335855,42.466399,42.571056,2858700
2015-04-20,42.796472,43.021885,42.667664,42.683765,2767700
2015-04-21,42.756228,42.957491,42.466409,42.538864,4162700
2015-04-22,42.514709,42.804525,42.023628,42.353699,3544500
2015-04-23,42.257087,42.514703,42.224884,42.410046,4064300
2015-04-24,42.377835,42.474440,42.071915,42.393936,3995200
2015-04-27,42.619365,42.619365,41.999476,42.096085,1868300
2015-04-28,42.136332,42.418099,41.927021,42.240990,1768400
2015-04-29,41.460079,41.878706,39.954637,40.155899,5639900
2015-04-30,40.067347,40.333012,39.793630,39.874134,4134200
2015-05-01,39.906336,40.437669,39.906336,40.324963,2120600
2015-05-04,40.341067,40.614784,40.091500,40.131752,2826200
2015-05-05,40.147866,40.284726,39.246210,39.334766,2948300
2015-05-06,39.463575,39.608484,38.714878,39.020798,3186200
2015-05-07,39.044948,39.447473,39.028846,39.334766,2224200
2015-05-08,39.576263,39.922435,39.552113,39.713123,1681300
2015-05-11,39.576276,40.172015,39.487720,39.793640,3939300
2015-05-12,39.632623,40.010998,39.511867,39.858036,1924100
2015-05-13,39.882183,40.099547,39.705071,39.745323,2035600
2015-05-14,39.841935,40.139802,39.841935,40.027096,1434400
2015-05-15,40.099560,40.228368,40.035155,40.115662,1572100
2015-05-18,40.204207,40.212259,40.002944,40.131752,1540900
2015-05-19,40.083448,40.212256,39.938538,40.139801,1572200
2015-05-20,40.099550,40.212257,39.986841,40.027096,1337300
2015-05-21,40.019047,40.453775,39.978795,40.349117,2043300
2015-05-22,40.236406,40.469872,40.236406,40.300812,1388300
2015-05-26,40.252513,40.365220,39.801684,39.906342,2593600
2015-05-27,40.083451,40.228360,39.833884,40.123703,1181600
2015-05-28,40.099556,40.252514,40.019049,40.083454,1625900
2015-05-29,39.962689,40.139801,39.777528,39.970741,2362600
2015-06-01,40.107604,40.180059,39.882191,40.043201,1357100
2015-06-02,39.938541,40.123702,39.849985,39.898289,1699600
2015-06-03,39.983480,40.032163,39.804985,39.959141,1695600
2015-06-04,39.756303,39.975368,39.326286,39.496670,3159700
2015-06-05,39.431763,39.488557,39.212700,39.277607,2020000
2015-06-08,39.245147,39.447985,39.188352,39.318169,1363600
2015-06-09,39.318175,39.399312,39.131564,39.204586,1431800
2015-06-10,39.261374,39.561574,39.261374,39.301941,1810700
2015-06-11,39.423644,39.569688,39.196466,39.342510,1906400
2015-06-12,39.310056,39.350623,39.099103,39.301941,1876400
2015-06-15,39.034191,39.034191,38.644742,38.709648,1686800
2015-06-16,38.774580,38.863829,38.693443,38.782692,1489300
2015-06-17,38.888162,38.961184,38.596075,38.847595,2002100
2015-06-18,38.944949,39.261376,38.944949,39.188354,1504000
2015-06-19,39.147793,39.147793,38.734005,38.750229,2121500
2015-06-22,39.001753,39.034208,38.596077,38.701553,1643700
2015-06-23,38.685322,38.823251,38.377007,38.409462,1629300
2015-06-24,38.336444,38.458148,38.230967,38.271534,1881700
2015-06-25,38.360783,38.368898,38.036244,38.084923,1161100
2015-06-26,38.117373,38.287756,37.987556,38.157940,1268500
2015-06-29,37.930736,38.052440,37.589969,37.606194,1606800
2015-06-30,37.890169,37.971303,37.573742,37.606194,1346000
2015-07-01,37.841507,37.873962,37.516968,37.736031,1240700
2015-07-02,37.784712,37.865846,37.500739,37.622440,884600
2015-07-06,37.354697,37.760374,37.208653,37.752258,1228500
2015-07-07,37.752269,38.222856,37.654908,38.149834,1986300
2015-07-08,37.857735,38.344545,37.809052,37.979439,2051700
2015-07-09,38.271523,38.409455,38.190389,38.255299,2254300
2015-07-10,38.587955,38.855700,38.385117,38.742111,1920300
2015-07-13,39.058540,39.082880,38.766453,38.888157,2082400
2015-07-14,38.831356,39.488550,38.807016,39.431755,2284500
2015-07-15,39.456104,39.545353,39.204583,39.269493,1573900
2015-07-16,39.488576,39.942935,39.334420,39.707642,2299000
2015-07-17,39.618374,39.667053,39.358738,39.496670,1602100
2015-07-20,39.464226,39.537248,39.301955,39.374977,1022900
2015-07-21,39.358735,39.439872,38.961174,39.131557,1269500
2015-07-22,39.123462,39.326300,38.579854,38.782692,2750100
2015-07-23,38.750224,40.048391,38.750224,39.821213,4709200
2015-07-24,39.926667,40.210642,39.537218,39.618355,3129700
2015-07-27,39.537233,40.194430,39.504778,39.804981,3871600
2015-07-28,40.332362,40.770494,40.178206,40.697472,3520500
2015-07-29,40.786719,41.208623,40.738037,41.135601,3278900
2015-07-30,41.005793,41.687330,41.005793,41.541286,2769400
2015-07-31,41.727895,41.752234,41.411468,41.484489,1658300
2015-08-03,41.419586,41.484495,41.111270,41.216747,2178600
2015-08-04,41.273534,41.687326,41.208628,41.354671,1853900
2015-08-05,41.549391,42.052432,41.525051,41.865818,2052200
2015-08-06,41.865816,42.028087,41.338438,41.362778,1820400
2015-08-07,41.346544,41.476360,41.022005,41.184273,2308000
2015-08-10,41.403343,41.727886,41.338437,41.695431,1606800
2015-08-11,41.387123,41.841482,41.330328,41.800915,1590600
2015-08-12,41.573723,42.117328,41.500701,42.068645,2420400
2015-08-13,41.963182,42.409426,41.873933,42.109226,1872900
2015-08-14,42.157899,42.425647,42.052426,42.393192,1104600
2015-08-17,42.125454,42.758311,41.890164,42.709629,1428300
2015-08-18,42.628507,43.050411,42.596052,42.758324,2028000
2015-08-19,42.539249,42.961153,42.328295,42.677177,2285100
2015-08-20,42.425650,43.034165,42.271491,42.652828,3257100
2015-08-21,42.239036,42.482441,41.890154,41.898266,3558700
2015-08-24,39.902341,41.119371,39.585914,40.137634,4431600
2015-08-25,40.867855,41.192397,39.853663,39.878006,3039200
2015-08-26,40.827277,40.843505,39.853653,40.161968,4369600
2015-08-27,40.591991,40.819172,40.007819,40.591991,3857000
2015-08-28,40.632571,40.973338,40.510867,40.738045,2510000
2015-08-31,40.673143,40.786732,40.502756,40.616348,2074700
2015-09-01,40.015932,40.437836,39.675166,40.007820,2870900
2015-09-02,40.356712,40.535208,39.991603,40.389164,1701900
2015-09-03,40.470291,41.013896,40.470291,40.794830,1934800
2015-09-04,40.316134,40.721811,40.218773,40.510860,2295300
2015-09-08,41.038240,41.297872,40.770492,41.135601,2922600
2015-09-09,41.395238,41.525054,40.591997,40.673134,3217000
2015-09-10,40.701748,40.996097,40.480987,40.718102,2729400
2015-09-11,40.619995,40.922519,40.513702,40.881638,1889200
2015-09-14,40.889802,40.906155,40.431930,40.791687,2187000
2015-09-15,40.922507,41.151447,40.783511,41.004272,2945900
2015-09-16,41.118740,41.118740,40.873451,41.012447,2214900
2015-09-17,41.077872,41.298631,40.832580,40.938873,2119500
2015-09-18,40.440105,40.922508,40.423752,40.791687,3756400
2015-09-21,41.094212,41.167799,40.857101,40.971569,2083600
2015-09-22,40.595453,40.824389,40.325632,40.775330,1972800
2015-09-23,40.783518,40.930692,40.423757,40.840752,2004200
2015-09-24,40.603633,40.816217,40.407400,40.718102,3534500
2015-09-25,41.061492,41.421250,40.832553,41.184135,3294400
2015-09-28,41.028806,41.110568,40.619990,40.701752,2076200
2015-09-29,40.652690,40.693571,40.047640,40.243874,5423500
2015-09-30,40.538225,40.767161,40.121231,40.726280,3399600
2015-10-01,40.758986,41.077865,40.489169,40.963394,2361600
2015-10-02,40.636346,41.314980,40.464644,41.314980,1761200
2015-10-05,41.568439,42.132605,41.527558,42.075371,1556500
2015-10-06,42.034497,42.222552,41.813736,42.050850,1857800
2015-10-07,42.157141,42.508723,42.091729,42.369724,1582900
2015-10-08,42.353362,43.318168,42.099897,43.293640,2472200
2015-10-09,43.293649,43.784227,43.211884,43.465351,1482800
2015-10-12,43.391759,43.792400,43.342700,43.669754,894000
2015-10-13,43.530765,43.677936,43.318179,43.383591,1393400
2015-10-14,43.310008,43.359063,42.868485,42.884838,1412500
2015-10-15,42.966590,43.089236,42.704948,42.925709,1829900
2015-10-16,43.056540,43.416298,42.672252,42.884838,2384500
2015-10-19,42.819412,43.048351,42.549595,42.933880,2003000
2015-10-20,42.884844,43.228249,42.827610,43.097427,1727700
2015-10-21,43.563461,43.972278,43.563461,43.694283,3239200
2015-10-22,44.037692,44.127632,43.710637,43.751518,2538500
2015-10-23,43.825117,43.996822,43.310010,43.489887,2839600
2015-10-26,43.547121,43.849648,43.416300,43.489887,2226200
2015-10-27,43.285477,44.560985,43.171009,44.430164,3126200
2015-10-28,44.634575,44.847159,44.201231,44.650928,2812800
2015-10-29,44.699980,44.716334,44.315695,44.528278,1523800
2015-10-30,44.511927,44.716335,43.955936,43.955936,3320700
2015-11-02,44.037692,44.650916,44.037692,44.511917,2193200
2015-11-03,44.405633,44.650922,44.054051,44.193047,2082200
2015-11-04,44.225747,45.198729,44.094926,44.266628,2343700
2015-11-05,44.446516,44.618218,44.340223,44.503750,1829300
2015-11-06,44.503750,44.511925,44.127640,44.503750,1399700
2015-11-09,44.372918,44.487386,43.743340,43.898689,1556100
2015-11-10,43.800574,44.176684,43.767868,43.865986,1526000
2015-11-11,43.939572,44.217568,43.833279,43.849632,1525400
2015-11-12,43.710638,43.800578,43.146473,43.146473,1882100
2015-11-13,43.048369,43.211893,42.533260,42.647728,2404400
2015-11-16,42.557771,42.982941,42.549596,42.974766,2935800
2015-11-17,43.023825,43.211880,42.876650,43.072884,1492200
2015-11-18,43.146482,43.849646,42.974780,43.808765,1900000
2015-11-19,43.964100,44.070393,43.751514,43.849632,1181500
2015-11-20,44.037692,44.291156,43.972279,44.250275,1223800
2015-11-23,44.250275,44.520095,44.103101,44.266628,1422200
2015-11-24,44.045856,44.217561,43.776038,44.135796,1541100
2015-11-25,44.168510,44.282978,44.078570,44.176685,1038700
2015-11-27,44.143987,44.348395,43.906873,44.086750,780700
2015-11-30,44.176687,44.291155,43.947751,43.964104,1809400
2015-12-01,44.193043,44.618212,43.825108,44.086750,1980500
2015-12-02,44.099100,44.337919,43.959104,44.066158,1695200
2015-12-03,44.074404,44.197929,42.517966,42.690903,3821900
2015-12-04,42.830896,43.399122,42.830896,43.366180,4590600
2015-12-07,43.201471,43.374408,42.657953,42.905006,2420300
2015-12-08,42.699132,43.341474,42.575607,43.259121,2426300
2015-12-09,43.069707,43.341468,42.534426,42.732067,1916800
