date,open,high,low,close,volume
2015-01-02,25.281629,25.386910,24.986840,25.351816,2534900
2015-01-05,25.288644,25.393926,25.007894,25.064043,3107200
2015-01-06,25.169329,25.618530,25.078084,25.197405,4749600
2015-01-07,25.253547,25.506223,25.134229,25.414978,2833400
2015-01-08,25.597478,25.786985,25.520271,25.709778,2516800
2015-01-09,25.604493,25.688718,25.267592,25.393930,2328100
2015-01-12,25.414979,25.492186,25.021929,25.169323,2733600
2015-01-13,25.316720,25.709772,25.211437,25.372871,2612800
2015-01-14,25.260567,25.632561,25.190377,25.597467,2633300
2015-01-15,25.646600,25.920332,25.520262,25.822069,2700200
2015-01-16,25.857173,26.004566,25.688721,25.983511,2673700
2015-01-20,26.067729,26.180029,25.864184,26.158974,2872800
2015-01-21,26.088782,26.418665,25.899278,26.376554,2212500
2015-01-22,26.460780,26.502891,26.088783,26.334442,1692500
2015-01-23,26.425687,26.594136,26.271273,26.502892,2020600
2015-01-26,26.411644,26.439717,26.201081,26.432699,1379500
2015-01-27,26.397612,26.629230,26.320405,26.481836,1584300
2015-01-28,26.481841,26.790667,26.187054,26.285316,2561400
2015-01-29,26.362511,26.762581,26.144928,26.748543,2856400
2015-01-30,26.580107,26.917008,26.327431,26.341469,3869400
2015-02-02,26.362524,26.559048,26.046678,26.369541,4280600
2015-02-03,26.306367,26.439722,26.151953,26.418667,3616400
2015-02-04,26.341462,26.460783,26.032637,26.109844,3178800
2015-02-05,26.144930,26.397606,26.046667,26.362513,1954400
2015-02-06,26.180028,26.201086,24.937705,25.064043,5278500
2015-02-09,25.113171,25.239509,24.720122,24.804346,3545700
2015-02-10,24.839449,25.506233,24.797338,25.443064,5768600
2015-02-11,25.295657,25.316713,24.853474,24.951736,3636900
2015-02-12,24.972810,25.064052,24.811375,24.937714,4162000
2015-02-13,24.839444,24.839444,24.284960,24.565712,5590900
2015-02-17,24.446396,24.874539,24.291982,24.699070,8705400
2015-02-18,24.734167,25.527286,24.649939,25.478155,4254000
2015-02-19,25.527279,25.541317,25.295661,25.421999,5010600
2015-02-20,25.414978,25.485168,24.895591,25.211433,3242300
2015-02-23,25.295671,25.548347,25.239519,25.534309,3245800
2015-02-24,25.513250,25.660647,25.344801,25.513250,3374400
2015-02-25,25.548346,25.569401,24.930693,25.000879,2637700
2015-02-26,25.028956,25.099143,24.783300,24.860504,2557700
2015-02-27,24.832427,24.860500,24.656958,24.762238,2398200
2015-03-02,24.741179,24.769255,24.011226,24.151602,3735800
2015-03-03,24.165637,24.355144,23.990167,24.348124,3546700
2015-03-04,24.207758,24.291983,24.109493,24.270927,2383500
2015-03-05,24.474469,24.600807,24.306020,24.516582,3361000
2015-03-06,24.151611,24.221798,23.477809,23.618185,5799500
2015-03-09,23.737499,24.053344,23.590105,23.919989,5106500
2015-03-10,23.842779,24.277943,23.828742,23.976135,4258500
2015-03-11,23.948056,24.081414,23.716438,23.758549,3392100
2015-03-12,23.884882,24.284952,23.856809,24.179672,2536900
2015-03-13,24.158430,24.200938,23.669595,23.903387,3921700
2015-03-16,24.045070,24.455978,24.045070,24.243441,3308500
2015-03-17,24.200931,24.378045,24.101747,24.179678,2415300
2015-03-18,24.200932,24.888138,24.115918,24.767698,4264600
2015-03-19,24.696854,24.951899,24.392217,24.427639,3405800
2015-03-20,24.562246,24.732277,24.406387,24.640177,5561500
2015-03-23,24.633091,24.888136,24.633091,24.796036,2746500
2015-03-24,24.994411,25.072341,24.512659,24.590590,4964100
2015-03-25,24.831459,24.838545,24.378047,24.385130,3633500
2015-03-26,24.399299,24.555161,24.094662,24.300116,3747700
2015-03-27,24.314283,24.406383,24.037984,24.363874,5962000
2015-03-30,24.406386,24.732276,24.328455,24.611839,2879000
2015-03-31,24.569332,24.746446,24.434726,24.661432,4321500
2015-04-01,24.526825,24.753531,24.300118,24.703939,1970800
2015-04-02,24.661432,24.803122,24.583501,24.626007,2558100
2015-04-06,24.689771,25.044000,24.689771,24.831463,1714700
2015-04-07,24.824377,24.845630,24.420556,24.448893,2034000
2015-04-08,24.434720,24.477226,24.243436,24.392212,1761200
2015-04-09,24.392220,24.406389,24.094666,24.314289,2195000
2015-04-10,24.349713,24.604759,24.257616,24.562250,1609500
2015-04-13,24.484317,24.555162,24.257611,24.278864,1881800
2015-04-14,24.285939,24.498478,24.243433,24.420547,1668400
2015-04-15,24.477242,24.718118,24.378058,24.434736,1867300
2015-04-16,24.356794,24.385130,23.995478,24.300116,2339100
2015-04-17,24.328459,24.548083,24.236359,24.349712,2963700
2015-04-20,24.406386,24.803121,24.392217,24.633093,2446700
2015-04-21,24.597671,24.859800,24.215103,24.285948,2518500
2015-04-22,24.356799,24.484322,24.172598,24.307207,2132200
2015-04-23,24.300124,24.597678,24.264702,24.455986,2029100
2015-04-24,24.455980,24.859801,24.349710,24.703939,2172600
2015-04-27,24.774793,24.803130,24.300125,24.378056,2234900
2015-04-28,24.300122,24.626012,24.215107,24.590590,1983000
2015-04-29,24.385139,24.491408,24.101757,24.455986,3585600
2015-04-30,24.328456,24.328456,23.740435,24.023819,4739900
2015-05-01,24.009647,24.144255,23.775857,24.059238,3403800
2015-05-04,24.059235,24.555156,24.052151,24.342619,3386200
2015-05-05,24.264696,24.349711,23.782945,23.839622,3824900
2015-05-06,23.811280,23.952972,23.464134,23.740433,2701800
2015-05-07,23.825455,23.981314,23.669593,23.719185,3473100
2015-05-08,23.988394,24.087578,23.669588,23.818363,2629300
2015-05-11,23.768774,24.073411,23.634168,23.676674,2801600
2015-05-12,23.563323,23.612918,23.343703,23.527901,3132400
2015-05-13,23.577491,23.697930,23.173670,23.272854,3395800
2015-05-14,23.343703,23.740438,23.343703,23.719185,4315800
2015-05-15,23.754604,23.974227,23.705012,23.910465,4337900
2015-05-18,23.839617,24.264691,23.811278,24.200930,3798900
2015-05-19,24.151345,24.463066,24.080500,24.349712,4438700
2015-05-20,24.385131,24.689768,24.293033,24.526823,3416100
2015-05-21,24.533910,24.562246,24.321373,24.448893,2101000
2015-05-22,24.434729,24.477234,24.257614,24.413473,1729700
2015-05-26,24.300116,24.307202,23.945887,24.080496,4066300
2015-05-27,24.059235,24.193844,24.037982,24.158419,2451800
2015-05-28,24.165508,24.278862,24.059239,24.179678,2491900
2015-05-29,24.215105,24.264697,24.052160,24.123005,2535800
2015-06-01,24.186763,24.300116,24.059240,24.137171,2274400
2015-06-02,24.002568,24.030904,23.471224,23.662508,4439500
2015-06-03,23.591664,23.683764,23.081576,23.265774,5414300
2015-06-04,23.166585,23.407461,23.102824,23.216177,3200400
2015-06-05,22.989470,23.017809,22.699003,22.918623,4662000
2015-06-08,22.946957,23.017805,22.819434,22.904451,2412700
2015-06-09,22.890286,22.982384,22.869031,22.925709,2957700
2015-06-10,23.060315,23.173668,22.890286,22.925709,3624400
2015-06-11,23.095742,23.272856,23.017814,23.244520,3348900
2015-06-12,23.116996,23.258688,22.989473,23.166588,4900200
2015-06-15,23.159499,23.166585,22.961131,23.024893,2619200
2015-06-16,23.039201,23.253851,22.903254,23.167992,2370400
2015-06-17,23.160835,23.339711,23.024890,23.303936,2880100
2015-06-18,23.325400,23.697462,23.246697,23.647377,2501500
2015-06-19,23.640223,23.704618,23.432726,23.447037,2887300
2015-06-22,23.339714,23.511436,23.289629,23.396955,1671300
2015-06-23,23.368336,23.368336,22.996274,23.060669,3014300
2015-06-24,23.067820,23.139369,22.867477,22.888943,3481800
2015-06-25,22.960495,22.960495,22.803085,22.838860,3032700
2015-06-26,22.831710,23.096445,22.724385,23.067827,2654800
2015-06-29,23.067822,23.339711,22.996270,23.017735,3643700
2015-06-30,23.082134,23.167996,22.910414,23.024895,4141900
2015-07-01,23.060663,23.275313,22.981957,23.253849,3625600
2015-07-02,23.489971,23.611606,23.332560,23.482815,2794700
2015-07-06,23.461350,23.604451,23.354024,23.568674,2641700
2015-07-07,23.704620,24.298487,23.654535,24.248402,3592200
2015-07-08,24.126770,24.334264,24.048064,24.119614,2893300
2015-07-09,24.148235,24.241251,23.733242,23.847725,2072600
2015-07-10,23.897805,24.169694,23.804789,24.005129,2825100
2015-07-13,24.098144,24.212625,23.869184,23.997974,2386600
2015-07-14,24.026595,24.133919,23.876337,23.997974,1421700
2015-07-15,24.005129,24.090989,23.840564,24.055214,1663600
2015-07-16,24.126770,24.455901,24.083839,24.412970,2154100
2015-07-17,24.319956,24.334263,24.105303,24.112459,2356000
2015-07-20,24.076685,24.112459,23.761861,23.955048,2645100
2015-07-21,23.904963,23.962204,23.625917,23.718933,2352500
2015-07-22,23.726090,23.962207,23.683159,23.897812,2511900
2015-07-23,23.847720,23.854873,23.418416,23.547207,2959400
2015-07-24,23.547205,23.625911,23.461346,23.511431,2329100
2015-07-27,23.532897,23.947890,23.482812,23.854874,3091800
2015-07-28,23.840568,24.048065,23.747552,24.033754,2364400
2015-07-29,23.997972,24.155381,23.819097,24.133917,2424700
2015-07-30,24.112466,24.599008,23.704629,24.477371,4738100
2015-07-31,24.634778,25.149942,24.541762,24.806498,5335800
2015-08-03,24.820802,24.949593,24.613308,24.706322,2849400
2015-08-04,24.692012,24.699168,24.377191,24.434433,1962700
2015-08-05,24.563222,24.649082,24.391500,24.627615,3176000
2015-08-06,24.591839,24.935280,24.498826,24.920973,3942200
2015-08-07,24.849427,25.328816,24.749257,25.221489,2568300
2015-08-10,25.207172,25.235793,24.949591,24.999676,2813700
2015-08-11,25.049770,25.364594,24.928136,25.307352,3270900
2015-08-12,25.264423,25.686570,25.200028,25.557779,3889000
2015-08-13,25.493381,25.536310,25.178558,25.443296,2410700
2015-08-14,25.400365,25.650790,25.228643,25.615015,1568900
2015-08-17,25.629330,25.836827,25.557781,25.750967,2788600
2015-08-18,25.672261,25.765275,25.593556,25.693726,2412300
2015-08-19,25.650788,26.101556,25.536308,25.987076,3832100
2015-08-20,25.793891,26.008541,25.679411,25.765270,2438800
2015-08-21,25.650790,25.793891,25.443296,25.443296,3716700
2015-08-24,24.792176,25.092686,24.262703,24.398647,6026600
